address,price,beds,baths,parking,propertyTypeFormatted
EAST MELBOURNE 12/174 George Street VIC 3002,495,1,1,1,Apartment / Unit / Flat
BRIGHTON 210/26 Warleigh Grove VIC 3186,595,2,2,1,Apartment / Unit / Flat
MELBOURNE 605/455 Elizabeth Street VIC 3000,500,2,1,0,Apartment / Unit / Flat
MELBOURNE 3510/500 Elizabeth Street VIC 3000,580,2,2,0,Apartment / Unit / Flat
MELBOURNE 309/402-408 La Trobe Street VIC 3000,450,2,1,0,Apartment / Unit / Flat
CARLTON G06/81 Cemetery Road VIC 3053,375,1,1,0,Apartment / Unit / Flat
ST KILDA EAST 7/1A Hughenden Road VIC 3183,340,1,1,1,Apartment / Unit / Flat
ABBOTSFORD EG07/11 Flockhart Street VIC 3067,375,2,1,0,Apartment / Unit / Flat
BRUNSWICK WEST 10/5 Allard Street VIC 3055,370,1,1,1,Apartment / Unit / Flat
EAST MELBOURNE 1105/162 Albert Street VIC 3002,420,2,1,1,Apartment / Unit / Flat
ARMADALE 6/6 Denbigh Road VIC 3143,710,2,2,1,Apartment / Unit / Flat
EAST MELBOURNE 107K/211 Powlett Street VIC 3002,550,1,1,1,Apartment / Unit / Flat
PORT MELBOURNE 409/108 Bay Street VIC 3207,550,1,2,1,Apartment / Unit / Flat
HAWTHORN 15/64 Auburn Rd VIC 3122,330,1,1,1,Apartment / Unit / Flat
ELWOOD 205/95 Ormond Road VIC 3184,410,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 603/101 River Street VIC 3141,850,2,2,2,Apartment / Unit / Flat
MONTMORENCY 2/14 Binns Street VIC 3094,450,2,1,2,Apartment / Unit / Flat
SOUTHBANK 602/250 City Road VIC 3006,385,1,1,0,Apartment / Unit / Flat
ELWOOD 7/23 Bendigo Avenue VIC 3184,240,1,1,1,Apartment / Unit / Flat
MURRUMBEENA 5/34 Bute Street VIC 3163,340,1,1,1,Apartment / Unit / Flat
COLLINGWOOD 204/107 Cambridge Street VIC 3066,480,1,1,1,Apartment / Unit / Flat
CAULFIELD NORTH 10/663 Inkerman Road VIC 3161,525,2,1,1,Apartment / Unit / Flat
GLEN IRIS 1492 Malvern Road VIC 3146,230,1,1,0,Apartment / Unit / Flat
PORT MELBOURNE 214/54 Nott Street VIC 3207,440,1,1,1,Apartment / Unit / Flat
WODONGA 1/6 Rattray Avenue VIC 3690,250,2,1,1,Apartment / Unit / Flat
MOONEE PONDS 105/333 Ascot Vale Rd VIC 3039,480,2,2,1,Apartment / Unit / Flat
WINDSOR 12/30 James Street VIC 3181,70,1,1,1,Apartment / Unit / Flat
MELBOURNE 918/422 Collins St VIC 3000,600,2,1,0,Apartment / Unit / Flat
BENTLEIGH 2/116 Jasper Road VIC 3204,450,2,1,1,Apartment / Unit / Flat
FOOTSCRAY 1003/8 Joseph Road VIC 3011,480,2,2,1,Apartment / Unit / Flat
HAWTHORN 6/566 Glenferrie Road VIC 3122,480,2,1,1,Apartment / Unit / Flat
SOUTH YARRA 1203/77 River Street VIC 3141,570,2,1,1,Apartment / Unit / Flat
SOUTH YARRA 1102/32 Bray Street VIC 3141,525,2,1,1,Apartment / Unit / Flat
RESERVOIR 2/24 O'Connor Street VIC 3073,430,2,1,1,Apartment / Unit / Flat
MELBOURNE 911/408 Lonsdale Street VIC 3000,330,1,1,0,Apartment / Unit / Flat
HAWTHORN 3/23 Auburn Grove VIC 3122,450,2,1,1,Apartment / Unit / Flat
ELWOOD 3/27 Ruskin Street VIC 3184,550,2,1,1,Apartment / Unit / Flat
WODONGA 4/5 BELL COURT VIC 3690,230,1,1,1,Apartment / Unit / Flat
FITZROY NORTH 204/378-390 St George Road VIC 3068,800,2,2,1,Apartment / Unit / Flat
HAWTHORN 303/81 Riversdale Road VIC 3122,500,2,2,1,Apartment / Unit / Flat
TOORAK 3/402 Toorak Road VIC 3142,475,2,1,2,Apartment / Unit / Flat
WODONGA 4/4-6 WILSON STREET VIC 3690,350,2,1,1,Apartment / Unit / Flat
BRUNSWICK WEST 504/1 Olive York Way VIC 3055,450,2,2,1,Apartment / Unit / Flat
RINGWOOD 410/92 Maroondah Highway VIC 3134,440,2,2,1,Apartment / Unit / Flat
NOBLE PARK 10/10 Larbert Road VIC 3174,240,1,1,1,Apartment / Unit / Flat
ABBOTSFORD 514/6 Acacia Place VIC 3067,440,1,1,1,Apartment / Unit / Flat
GEELONG WEST 3/47 Wellington Street VIC 3218,340,2,1,1,Apartment / Unit / Flat
ABBOTSFORD 902/627 Victoria Street VIC 3067,425,1,1,0,Apartment / Unit / Flat
HIGHETT 314/284 Highett Rd VIC 3190,430,2,1,1,Apartment / Unit / Flat
RICHMOND 612/30 Burnley Street VIC 3121,425,1,1,1,Apartment / Unit / Flat
HAMPTON 2/36 Crisp St VIC 3188,625,2,2,1,Apartment / Unit / Flat
EAST MELBOURNE 4/23 Albert Street VIC 3002,475,1,1,0,Apartment / Unit / Flat
ST KILDA EAST 31/55 Hotham Street VIC 3183,550,3,1,1,Apartment / Unit / Flat
BRUNSWICK EAST 105/26 Barkly Street VIC 3057,400,1,1,1,Apartment / Unit / Flat
ELWOOD 2/117 Tennyson Street VIC 3184,560,2,2,2,Apartment / Unit / Flat
ST KILDA EAST 1/28 Wilgah Street VIC 3183,495,2,1,1,Apartment / Unit / Flat
CAULFIELD 313/15 Bond Street VIC 3162,450,2,1,1,Apartment / Unit / Flat
SOUTH YARRA 3/59 Avoca Street VIC 3141,580,2,1,0,Apartment / Unit / Flat
CAULFIELD SOUTH 2/193 Bambra Road VIC 3162,590,3,2,1,Apartment / Unit / Flat
CAULFIELD 2A Stephens Street VIC 3162,670,3,2,2,Apartment / Unit / Flat
ABBOTSFORD 714/20 Shamrock Street VIC 3067,350,1,1,0,Apartment / Unit / Flat
ELWOOD 4/5 Southey Court VIC 3184,575,2,1,1,Apartment / Unit / Flat
CANTERBURY 2/28 Milton Street VIC 3126,430,2,1,1,Apartment / Unit / Flat
CHADSTONE 336/70 Batesford Road VIC 3148,375,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 512/77 River Street VIC 3141,430,1,1,1,Apartment / Unit / Flat
SOUTH MELBOURNE 1703/89-103 Gladstone Street VIC 3205,460,1,1,0,Apartment / Unit / Flat
WODONGA 2/4 ANNE STREET VIC 3690,240,1,1,1,Apartment / Unit / Flat
ST KILDA 5/2 Kipling Street VIC 3182,325,2,1,1,Apartment / Unit / Flat
ST KILDA 14/21 Marine Parade VIC 3182,1300,3,2,2,Apartment / Unit / Flat
FITZROY NORTH 111L/378-390 St Georges Road VIC 3068,440,1,1,1,Apartment / Unit / Flat
BALACLAVA 4/360 Carlisle Street VIC 3183,650,2,1,1,Apartment / Unit / Flat
MALVERN EAST 508/839 Dandenong Road VIC 3145,360,1,1,1,Apartment / Unit / Flat
MELBOURNE 1112/333-351 Exhibition Street VIC 3000,600,2,2,0,Apartment / Unit / Flat
FITZROY NORTH 22L/378-390 St Georges Road VIC 3068,570,2,2,1,Apartment / Unit / Flat
MENTONE G01/97 Beach Road VIC 3194,750,1,1,2,Apartment / Unit / Flat
MELBOURNE 602/118 Franklin Street VIC 3000,330,1,1,0,Apartment / Unit / Flat
GLEN IRIS 2/49 Osborne Avenue VIC 3146,770,2,2,2,Apartment / Unit / Flat
ABBOTSFORD 509A/1 Acacia Place VIC 3067,410,1,1,1,Apartment / Unit / Flat
BRUNSWICK 208/34 Union Street VIC 3056,490,2,1,1,Apartment / Unit / Flat
GLEN IRIS 12/70 Edgar Street North VIC 3146,295,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 113/2 Hobson Street VIC 3141,410,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 130/471 Malvern Road VIC 3141,400,1,1,1,Apartment / Unit / Flat
FOOTSCRAY 1303/8 Joseph Road VIC 3011,490,2,2,1,Apartment / Unit / Flat
EAST MELBOURNE 23/2 Wellington Crescent VIC 3002,750,2,2,2,Apartment / Unit / Flat
COLLINGWOOD 1304e/9 Robert Street VIC 3066,450,1,1,1,Apartment / Unit / Flat
MELBOURNE 4/180 Little Collins Street VIC 3000,500,1,1,0,Apartment / Unit / Flat
SOUTH YARRA 516/77 River Street VIC 3141,370,1,1,1,Apartment / Unit / Flat
MALVERN EAST 2/997 Dandenong Road VIC 3145,400,2,1,1,Apartment / Unit / Flat
RICHMOND 2/2 Smith Street VIC 3121,300,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 9/63 Millswyn Street VIC 3141,495,2,1,1,Apartment / Unit / Flat
GLEN IRIS 310/770B Toorak Road Road VIC 3146,80,1,1,1,Apartment / Unit / Flat
BOX HILL 3/1 John Street VIC 3128,420,2,1,1,Apartment / Unit / Flat
BALWYN 4/84 Rochester Rd VIC 3103,480,2,1,1,Apartment / Unit / Flat
CAULFIELD NORTH 8/62 Hawthorn Road VIC 3161,600,2,2,2,Apartment / Unit / Flat
BURWOOD 108/326-328 Burwood Highway VIC 3125,500,2,1,1,Apartment / Unit / Flat
HUGHESDALE 1/30 Swindon Road VIC 3166,420,2,1,1,Apartment / Unit / Flat
GLEN IRIS 3/76 Glen Iris Road VIC 3146,415,2,1,2,Apartment / Unit / Flat
SOUTH MELBOURNE 1/333 Coventry Street VIC 3205,550,2,1,1,Apartment / Unit / Flat
MELBOURNE 1507/12 Queens Rd VIC 3004,700,2,2,1,Apartment / Unit / Flat
MELBOURNE 3002/288 Spencer St VIC 3000,510,2,1,1,Apartment / Unit / Flat
ELSTERNWICK 806/18 McCombie St VIC 3185,520,2,2,1,Apartment / Unit / Flat
OAKLEIGH 109/6 Dalgety Street VIC 3166,500,1,1,1,Apartment / Unit / Flat
MURRUMBEENA 4/15 Howe Street VIC 3163,290,1,1,1,Apartment / Unit / Flat
RICHMOND 6/137 Coppin Street VIC 3121,360,1,1,0,Apartment / Unit / Flat
FOOTSCRAY 2308/6 Joseph Road VIC 3011,400,1,1,1,Apartment / Unit / Flat
BRUNSWICK EAST 2005/178 Edward Street VIC 3057,550,2,1,1,Apartment / Unit / Flat
HAMPTON G05/18 Railway Crescent VIC 3188,750,2,2,1,Apartment / Unit / Flat
ELWOOD 6/30 Docker Street VIC 3184,470,1,1,1,Apartment / Unit / Flat
ST KILDA 1/38 Alma Rd VIC 3182,450,2,1,0,Apartment / Unit / Flat
SOUTHBANK 705/26 Southgate Avenue VIC 3006,530,1,1,1,Apartment / Unit / Flat
MELBOURNE 1605/565 Flinders Street VIC 3000,500,2,2,1,Apartment / Unit / Flat
RICHMOND 126/243-249A Bridge Road VIC 3121,400,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 10/2 Lawson Grove VIC 3141,415,1,1,0,Apartment / Unit / Flat
RICHMOND 17/81 Edinburgh Street VIC 3121,300,1,1,1,Apartment / Unit / Flat
BRUNSWICK 9/67 Blyth St VIC 3056,490,2,1,1,Apartment / Unit / Flat
WINDSOR 16/174 Peel Street VIC 3181,385,1,1,1,Apartment / Unit / Flat
FITZROY 107/176 Argyle Street VIC 3065,450,1,1,0,Apartment / Unit / Flat
ABBOTSFORD 9/328 Johnston Street VIC 3067,600,2,1,1,Apartment / Unit / Flat
BRUNSWICK 2/6 Millward Street VIC 3056,390,2,1,1,Apartment / Unit / Flat
RICHMOND 209/8 Garfield Street VIC 3121,450,1,1,1,Apartment / Unit / Flat
MELBOURNE 2108/288 Spencer Street VIC 3000,350,1,1,0,Apartment / Unit / Flat
SOUTH YARRA 402/20 Garden Street VIC 3141,350,1,1,0,Apartment / Unit / Flat
FOOTSCRAY 2003/8 Joseph Road VIC 3011,520,2,2,1,Apartment / Unit / Flat
SOUTH MELBOURNE 1009/338 Kings Way VIC 3205,500,2,1,2,Apartment / Unit / Flat
TOORAK 11/8 Lamin Lane VIC 3142,465,1,1,1,Apartment / Unit / Flat
PRAHRAN 306/25 Clifton Street VIC 3181,425,2,1,0,Apartment / Unit / Flat
BRUNSWICK WEST 4/2 Waxman Parade VIC 3055,380,2,1,1,Apartment / Unit / Flat
WINDSOR 12/28 The Avenue VIC 3181,550,2,1,1,Apartment / Unit / Flat
PASCOE VALE 4/7 Vale Street VIC 3044,375,2,1,1,Apartment / Unit / Flat
RICHMOND 616/14 David Street VIC 3121,550,2,1,1,Apartment / Unit / Flat
BOX HILL NORTH 75A Watts Street VIC 3129,440,2,1,1,Apartment / Unit / Flat
PRAHRAN 310/22 Chatham Street VIC 3181,450,1,1,1,Apartment / Unit / Flat
PORT MELBOURNE 701/57 Bay Street VIC 3207,750,2,1,2,Apartment / Unit / Flat
MIDDLE PARK 8/49 Patterson Street VIC 3206,490,2,1,1,Apartment / Unit / Flat
HAWTHORN G.04/567 Glenferrie Road VIC 3122,430,1,1,1,Apartment / Unit / Flat
ELSTERNWICK 103/5-7 Nepean Highway VIC 3185,500,2,2,1,Apartment / Unit / Flat
SOUTH MELBOURNE 203/333 Ferrars Street VIC 3205,650,2,2,1,Apartment / Unit / Flat
MURRUMBEENA 6/19 Sydney Street VIC 3163,300,1,1,1,Apartment / Unit / Flat
KEW 14/58-62 Mary Street VIC 3101,470,2,1,1,Apartment / Unit / Flat
MELBOURNE 612/408 Lonsdale Street VIC 3000,350,1,1,0,Apartment / Unit / Flat
HAWTHORN 11/64 Auburn Rd VIC 3122,350,1,1,1,Apartment / Unit / Flat
HAWTHORN 7/165 Power Street VIC 3122,350,1,1,1,Apartment / Unit / Flat
DONCASTER 2/11 Firth Street VIC 3108,360,2,1,1,Apartment / Unit / Flat
MELBOURNE 902/133 Russell St VIC 3004,650,1,1,0,Apartment / Unit / Flat
FITZROY NORTH 5/55 May Street VIC 3068,350,2,1,1,Apartment / Unit / Flat
BRIGHTON 1/128 Male Street VIC 3186,525,2,1,1,Apartment / Unit / Flat
NORTHCOTE 2/3 Jessie Street VIC 3070,375,2,1,1,Apartment / Unit / Flat
BALWYN 5/19 Kireep Road VIC 3103,400,2,1,1,Apartment / Unit / Flat
TOORAK 15/21 Tintern Avenue VIC 3142,520,2,1,1,Apartment / Unit / Flat
CARNEGIE 2/44 Rosstown Road VIC 3163,545,3,1,1,Apartment / Unit / Flat
ELSTERNWICK 3/24 Elster Avenue VIC 3185,450,2,1,1,Apartment / Unit / Flat
EDITHVALE 5/8-10 Turakina Avenue VIC 3196,350,1,1,1,Apartment / Unit / Flat
ST KILDA 5/9 Marlton Crescent VIC 3182,520,2,1,0,Apartment / Unit / Flat
GLEN HUNTLY 3/22 Roseberry Grove VIC 3163,335,2,1,1,Apartment / Unit / Flat
GLEN IRIS 10/304 Tooronga Road VIC 3146,350,2,1,1,Apartment / Unit / Flat
MURRUMBEENA 8/24 Melbourne Street VIC 3163,270,1,1,1,Apartment / Unit / Flat
PRAHRAN 4/34 Clarke Street VIC 3181,360,1,1,1,Apartment / Unit / Flat
ST KILDA EAST 3/206 Alma Rd VIC 3183,250,1,1,0,Apartment / Unit / Flat
PRAHRAN 510/42 Porter Street VIC 3181,260,1,1,0,Apartment / Unit / Flat
CAMBERWELL 3/9 Eddy Street VIC 3124,470,2,1,1,Apartment / Unit / Flat
SOUTHBANK 3402/61 Haig Street VIC 3006,395,1,1,0,Apartment / Unit / Flat
ST KILDA EAST 12/7 Raglan Street VIC 3183,290,1,1,0,Apartment / Unit / Flat
MELBOURNE 309/77 Queens Road VIC 3004,430,1,1,1,Apartment / Unit / Flat
BRUNSWICK 805/288 Albert Street VIC 3056,450,2,1,1,Apartment / Unit / Flat
HAWTHORN 6/146 Riversdale Road VIC 3122,445,2,1,1,Apartment / Unit / Flat
ALPHINGTON 12/1 Rex Avenue VIC 3078,460,2,1,1,Apartment / Unit / Flat
CARNEGIE 5/20 Anzac Street VIC 3163,320,1,1,1,Apartment / Unit / Flat
PRAHRAN 2/227 Chapel Street VIC 3181,430,2,1,0,Apartment / Unit / Flat
ST KILDA EAST 6/23 Lansdowne Rd VIC 3183,350,2,1,1,Apartment / Unit / Flat
BRUNSWICK 208/5 Union Street VIC 3056,550,2,1,1,Apartment / Unit / Flat
MIDDLE PARK 1/262 Beaconsfield Parade VIC 3206,500,2,1,1,Apartment / Unit / Flat
SOUTHBANK 1306/285 City Road VIC 3006,500,2,1,1,Apartment / Unit / Flat
OAKLEIGH 16/30 Swindon Road VIC 3166,570,3,2,2,Apartment / Unit / Flat
EAST MELBOURNE Unit 13P/189 Powlett St VIC 3002,600,2,2,1,Apartment / Unit / Flat
PORT MELBOURNE 112/1 Danks Street VIC 3207,525,2,1,1,Apartment / Unit / Flat
HIGHETT 2/15 Karen Street VIC 3190,390,2,1,2,Apartment / Unit / Flat
ST KILDA WEST 30/233-235 Canterbury Road VIC 3182,310,1,1,1,Apartment / Unit / Flat
NORTH MELBOURNE 310/350 Victoria Street VIC 3051,445,2,1,1,Apartment / Unit / Flat
MELBOURNE 1505/250 Elizabeth Street VIC 3000,520,2,1,0,Apartment / Unit / Flat
DANDENONG 2/24 Power Street VIC 3175,399,3,2,2,Apartment / Unit / Flat
MELBOURNE 3510/442 Elizabeth St VIC 3000,680,2,1,0,Apartment / Unit / Flat
DOCKLANDS 1209/8 Pearl River Rd VIC 3008,420,1,1,0,Apartment / Unit / Flat
CANTERBURY 2/42 Hopetoun Avenue VIC 3126,650,3,1,2,Apartment / Unit / Flat
MELBOURNE 9/15 Rankins Lane VIC 3000,900,2,2,0,Apartment / Unit / Flat
BRUNSWICK 7/213-219 Brunswick Road VIC 3056,625,2,2,1,Apartment / Unit / Flat
MELBOURNE 2205/22-24 Jane Bell Lane VIC 3000,550,2,1,0,Apartment / Unit / Flat
SOUTH YARRA 4/209 Domain Road VIC 3141,575,2,1,1,Apartment / Unit / Flat
MCKINNON 8/66 Bent Street VIC 3204,495,2,2,1,Apartment / Unit / Flat
DOCKLANDS 1811/8 Marmion Pl VIC 3008,480,1,1,1,Apartment / Unit / Flat
GLENROY 4/48 William Street VIC 3046,380,2,1,1,Apartment / Unit / Flat
ST KILDA 2/52 Alma Road VIC 3182,330,1,1,1,Apartment / Unit / Flat
SOUTH YARRA 2003/7 Yarra Street VIC 3141,425,1,1,0,Apartment / Unit / Flat
BRUNSWICK EAST 401/269 Stewart Street VIC 3057,650,2,2,1,Apartment / Unit / Flat
CARNEGIE 3/16 Oakleigh Road VIC 3163,450,2,1,1,Apartment / Unit / Flat
KOOYONG 7/717 Toorak Road VIC 3144,1100,3,2,2,Apartment / Unit / Flat
SOUTH YARRA 7/38A Kensington Road VIC 3141,525,2,1,1,Apartment / Unit / Flat
PRAHRAN 716/15 Clifton Street VIC 3181,500,2,1,1,Apartment / Unit / Flat
ELSTERNWICK 222/138 Glen Eira Road VIC 3185,550,2,2,1,Apartment / Unit / Flat
PORT MELBOURNE 402/49 Beach Street VIC 3207,940,2,2,2,Apartment / Unit / Flat
RICHMOND 511/2 McGoun Street VIC 3121,550,2,2,1,Apartment / Unit / Flat
ST KILDA EAST 2/47 Gourlay Street VIC 3183,345,2,1,1,Apartment / Unit / Flat
MELBOURNE 2201/288 Spencer Street VIC 3000,400,1,1,0,Apartment / Unit / Flat
CAULFIELD 16/667 Glenhuntly Road VIC 3162,450,2,1,1,Apartment / Unit / Flat
GLEN IRIS 1.07/281 Tooronga Road VIC 3146,595,2,2,1,Apartment / Unit / Flat
CAULFIELD NORTH 4/14 Narong Road VIC 3161,570,2,1,2,Apartment / Unit / Flat
MALVERN EAST 6/919 Dandenong Road VIC 3145,365,1,1,1,Apartment / Unit / Flat
ST KILDA 206/126 Chapel Street VIC 3182,450,1,1,1,Apartment / Unit / Flat
ELSTERNWICK 5/39 Nepean Highway VIC 3185,430,2,1,1,Apartment / Unit / Flat
KOOYONG 2/11 Mernda Road VIC 3144,550,3,1,0,Apartment / Unit / Flat
MELBOURNE 2004/288 Spencer Street VIC 3000,360,1,1,0,Apartment / Unit / Flat
PRAHRAN 101/6 Percy Place VIC 3181,490,1,1,1,Apartment / Unit / Flat
TOORAK 5/1 St Georges Road VIC 3142,280,1,1,0,Apartment / Unit / Flat
CAULFIELD NORTH 1/17 Sebastopol Street VIC 3161,650,2,2,2,Apartment / Unit / Flat
NORTH MELBOURNE 315/188 Peel Street VIC 3051,310,1,1,0,Apartment / Unit / Flat
EAST MELBOURNE 104/150 Clarendon Street VIC 3002,950,1,1,1,Apartment / Unit / Flat
WEST MELBOURNE 201/65 Dudley Street VIC 3003,420,1,1,0,Apartment / Unit / Flat
RICHMOND 604/8 Burnley Street VIC 3121,600,2,2,2,Apartment / Unit / Flat
ELWOOD 2/24 Tennyson Street VIC 3184,420,2,1,1,Apartment / Unit / Flat
BOX HILL 19/16-18 Poplar Street VIC 3128,230,1,1,0,Apartment / Unit / Flat
MELBOURNE 405/15 Queens Road VIC 3004,550,2,2,1,Apartment / Unit / Flat
IVANHOE 108/56 Myrtle Street VIC 3079,385,1,1,1,Apartment / Unit / Flat
ARMADALE 4/597 Orrong Road VIC 3143,400,1,1,1,Apartment / Unit / Flat
SANDRINGHAM 6/36 Edward Street VIC 3191,410,2,1,1,Apartment / Unit / Flat
CARNEGIE 9/1264 Glen Huntly Road VIC 3163,340,1,1,1,Apartment / Unit / Flat
RICHMOND 13/160 Coppin Street VIC 3121,330,1,1,1,Apartment / Unit / Flat
WINDSOR 8/13 Lewisham Road VIC 3181,475,2,1,0,Apartment / Unit / Flat
KOOYONG 3/459 Glenferrie Road VIC 3144,660,2,1,1,Apartment / Unit / Flat
CAULFIELD NORTH 4/60 Eskdale Road VIC 3161,575,3,1,0,Apartment / Unit / Flat
ST KILDA 312/196 St Kilda Road VIC 3182,450,2,1,1,Apartment / Unit / Flat
ST KILDA 24/3 Herbert Street VIC 3182,350,1,1,0,Apartment / Unit / Flat
ELWOOD 3/97 Spray Street VIC 3184,450,2,1,1,Apartment / Unit / Flat
HAWTHORN 309/17 Lynch Street VIC 3122,495,2,2,1,Apartment / Unit / Flat
HAWTHORN 8/5 Glenroy Road VIC 3122,450,2,1,1,Apartment / Unit / Flat
CARNEGIE 3/27 Coorigil Rd VIC 3163,420,2,1,2,Apartment / Unit / Flat
HAWTHORN EAST 3/866 Toorak Road VIC 3123,430,1,1,1,Apartment / Unit / Flat
KEW 3/17 Pakington Street VIC 3101,850,3,2,2,Apartment / Unit / Flat
SOUTH KINGSVILLE 1/16 Vernon Street VIC 3015,475,2,1,1,Apartment / Unit / Flat
HAWTHORN EAST 7/50 Leura Grove VIC 3123,430,2,1,1,Apartment / Unit / Flat
MELBOURNE 101/25-33 Wills Street VIC 3000,400,1,1,0,Apartment / Unit / Flat
CARNEGIE 9/55 Blackwood Street VIC 3163,295,1,1,1,Apartment / Unit / Flat
MELBOURNE 18e/481 St Kilda Road VIC 3004,2800,3,3,2,Apartment / Unit / Flat
GLEN IRIS 2/5 Ellis Road VIC 3146,695,3,2,1,Apartment / Unit / Flat
SURREY HILLS 1/15 Union Road VIC 3127,560,3,2,1,Apartment / Unit / Flat
SOUTH YARRA 2C/381 Toorak Road VIC 3141,480,2,2,1,Apartment / Unit / Flat
