,address,price,beds,baths,parking,propertyTypeFormatted,latitudes,longitudes
0,EAST MELBOURNE 12/174 George Street VIC 3002,495,1,1,1,Apartment / Unit / Flat,-37.8167,144.9879
1,BRIGHTON 210/26 Warleigh Grove VIC 3186,595,2,2,1,Apartment / Unit / Flat,-37.9057,145.0067
2,MELBOURNE 605/455 Elizabeth Street VIC 3000,500,2,1,0,Apartment / Unit / Flat,45.5916,14.1546
3,MELBOURNE 3510/500 Elizabeth Street VIC 3000,580,2,2,0,Apartment / Unit / Flat,45.5916,14.1546
4,MELBOURNE 309/402-408 La Trobe Street VIC 3000,450,2,1,0,Apartment / Unit / Flat,45.5916,14.1546
5,CARLTON G06/81 Cemetery Road VIC 3053,375,1,1,0,Apartment / Unit / Flat,-37.8004,144.9684
6,ST KILDA EAST 7/1A Hughenden Road VIC 3183,340,1,1,1,Apartment / Unit / Flat,-37.8692,144.9977
7,ABBOTSFORD EG07/11 Flockhart Street VIC 3067,375,2,1,0,Apartment / Unit / Flat,-37.8046,144.9998
8,BRUNSWICK WEST 10/5 Allard Street VIC 3055,370,1,1,1,Apartment / Unit / Flat,-37.7603,144.9502
9,EAST MELBOURNE 1105/162 Albert Street VIC 3002,420,2,1,1,Apartment / Unit / Flat,-37.8167,144.9879
10,ARMADALE 6/6 Denbigh Road VIC 3143,710,2,2,1,Apartment / Unit / Flat,-37.85,145.0333
11,EAST MELBOURNE 107K/211 Powlett Street VIC 3002,550,1,1,1,Apartment / Unit / Flat,-37.8167,144.9879
12,PORT MELBOURNE 409/108 Bay Street VIC 3207,550,1,2,1,Apartment / Unit / Flat,-37.8329,144.922
13,HAWTHORN 15/64 Auburn Rd VIC 3122,330,1,1,1,Apartment / Unit / Flat,-37.8199,145.0358
14,ELWOOD 205/95 Ormond Road VIC 3184,410,1,1,1,Apartment / Unit / Flat,-37.8809,144.9855
15,SOUTH YARRA 603/101 River Street VIC 3141,850,2,2,2,Apartment / Unit / Flat,-37.8333,144.9833
16,MONTMORENCY 2/14 Binns Street VIC 3094,450,2,1,2,Apartment / Unit / Flat,-37.7167,145.1167
17,SOUTHBANK 602/250 City Road VIC 3006,385,1,1,0,Apartment / Unit / Flat,-37.8228,144.9643
18,ELWOOD 7/23 Bendigo Avenue VIC 3184,240,1,1,1,Apartment / Unit / Flat,-37.8809,144.9855
19,MURRUMBEENA 5/34 Bute Street VIC 3163,340,1,1,1,Apartment / Unit / Flat,-37.8895,145.0581
20,COLLINGWOOD 204/107 Cambridge Street VIC 3066,480,1,1,1,Apartment / Unit / Flat,-37.8,144.9833
21,CAULFIELD NORTH 10/663 Inkerman Road VIC 3161,525,2,1,1,Apartment / Unit / Flat,-37.872,145.0216
22,GLEN IRIS 1492 Malvern Road VIC 3146,230,1,1,0,Apartment / Unit / Flat,-37.8599,145.0549
23,PORT MELBOURNE 214/54 Nott Street VIC 3207,440,1,1,1,Apartment / Unit / Flat,-37.8329,144.922
24,WODONGA 1/6 Rattray Avenue VIC 3690,250,2,1,1,Apartment / Unit / Flat,-36.0997,146.802
25,MOONEE PONDS 105/333 Ascot Vale Rd VIC 3039,480,2,2,1,Apartment / Unit / Flat,-37.7667,144.9167
26,WINDSOR 12/30 James Street VIC 3181,70,1,1,1,Apartment / Unit / Flat,-37.853,144.9929
27,MELBOURNE 918/422 Collins St VIC 3000,600,2,1,0,Apartment / Unit / Flat,45.5916,14.1546
28,BENTLEIGH 2/116 Jasper Road VIC 3204,450,2,1,1,Apartment / Unit / Flat,46.3375,15.2264
29,FOOTSCRAY 1003/8 Joseph Road VIC 3011,480,2,2,1,Apartment / Unit / Flat,-37.7995,144.8963
30,HAWTHORN 6/566 Glenferrie Road VIC 3122,480,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358
31,SOUTH YARRA 1203/77 River Street VIC 3141,570,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833
32,SOUTH YARRA 1102/32 Bray Street VIC 3141,525,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833
33,RESERVOIR 2/24 O'Connor Street VIC 3073,430,2,1,1,Apartment / Unit / Flat,-37.7167,145.0
34,MELBOURNE 911/408 Lonsdale Street VIC 3000,330,1,1,0,Apartment / Unit / Flat,45.5916,14.1546
35,HAWTHORN 3/23 Auburn Grove VIC 3122,450,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358
36,ELWOOD 3/27 Ruskin Street VIC 3184,550,2,1,1,Apartment / Unit / Flat,-37.8809,144.9855
37,WODONGA 4/5 BELL COURT VIC 3690,230,1,1,1,Apartment / Unit / Flat,-36.0997,146.802
38,FITZROY NORTH 204/378-390 St George Road VIC 3068,800,2,2,1,Apartment / Unit / Flat,-37.7865,144.9897
39,HAWTHORN 303/81 Riversdale Road VIC 3122,500,2,2,1,Apartment / Unit / Flat,-37.8199,145.0358
40,TOORAK 3/402 Toorak Road VIC 3142,475,2,1,2,Apartment / Unit / Flat,-37.8416,145.0177
41,WODONGA 4/4-6 WILSON STREET VIC 3690,350,2,1,1,Apartment / Unit / Flat,-36.0997,146.802
42,BRUNSWICK WEST 504/1 Olive York Way VIC 3055,450,2,2,1,Apartment / Unit / Flat,-37.7603,144.9502
43,RINGWOOD 410/92 Maroondah Highway VIC 3134,440,2,2,1,Apartment / Unit / Flat,-37.7667,145.25
44,NOBLE PARK 10/10 Larbert Road VIC 3174,240,1,1,1,Apartment / Unit / Flat,-37.9667,145.1667
45,ABBOTSFORD 514/6 Acacia Place VIC 3067,440,1,1,1,Apartment / Unit / Flat,-37.8046,144.9998
46,GEELONG WEST 3/47 Wellington Street VIC 3218,340,2,1,1,Apartment / Unit / Flat,-38.1343,144.3241
47,ABBOTSFORD 902/627 Victoria Street VIC 3067,425,1,1,0,Apartment / Unit / Flat,-37.8046,144.9998
48,HIGHETT 314/284 Highett Rd VIC 3190,430,2,1,1,Apartment / Unit / Flat,-37.9517,145.0394
49,RICHMOND 612/30 Burnley Street VIC 3121,425,1,1,1,Apartment / Unit / Flat,-37.8271,145.0064
50,HAMPTON 2/36 Crisp St VIC 3188,625,2,2,1,Apartment / Unit / Flat,-37.9374,145.0151
51,EAST MELBOURNE 4/23 Albert Street VIC 3002,475,1,1,0,Apartment / Unit / Flat,-37.8167,144.9879
52,ST KILDA EAST 31/55 Hotham Street VIC 3183,550,3,1,1,Apartment / Unit / Flat,-37.8692,144.9977
53,BRUNSWICK EAST 105/26 Barkly Street VIC 3057,400,1,1,1,Apartment / Unit / Flat,-37.7603,144.9502
54,ELWOOD 2/117 Tennyson Street VIC 3184,560,2,2,2,Apartment / Unit / Flat,-37.8809,144.9855
55,ST KILDA EAST 1/28 Wilgah Street VIC 3183,495,2,1,1,Apartment / Unit / Flat,-37.8692,144.9977
56,CAULFIELD 313/15 Bond Street VIC 3162,450,2,1,1,Apartment / Unit / Flat,-37.8914,145.0254
57,SOUTH YARRA 3/59 Avoca Street VIC 3141,580,2,1,0,Apartment / Unit / Flat,-37.8333,144.9833
58,CAULFIELD SOUTH 2/193 Bambra Road VIC 3162,590,3,2,1,Apartment / Unit / Flat,-37.8914,145.0254
59,CAULFIELD 2A Stephens Street VIC 3162,670,3,2,2,Apartment / Unit / Flat,-37.8914,145.0254
60,ABBOTSFORD 714/20 Shamrock Street VIC 3067,350,1,1,0,Apartment / Unit / Flat,-37.8046,144.9998
61,ELWOOD 4/5 Southey Court VIC 3184,575,2,1,1,Apartment / Unit / Flat,-37.8809,144.9855
62,CANTERBURY 2/28 Milton Street VIC 3126,430,2,1,1,Apartment / Unit / Flat,-37.8247,145.0848
63,CHADSTONE 336/70 Batesford Road VIC 3148,375,1,1,1,Apartment / Unit / Flat,-37.8833,145.1167
64,SOUTH YARRA 512/77 River Street VIC 3141,430,1,1,1,Apartment / Unit / Flat,-37.8333,144.9833
65,SOUTH MELBOURNE 1703/89-103 Gladstone Street VIC 3205,460,1,1,0,Apartment / Unit / Flat,46.3817,15.2958
66,WODONGA 2/4 ANNE STREET VIC 3690,240,1,1,1,Apartment / Unit / Flat,-36.0997,146.802
67,ST KILDA 5/2 Kipling Street VIC 3182,325,2,1,1,Apartment / Unit / Flat,-37.8633,144.9802
68,ST KILDA 14/21 Marine Parade VIC 3182,1300,3,2,2,Apartment / Unit / Flat,-37.8633,144.9802
69,FITZROY NORTH 111L/378-390 St Georges Road VIC 3068,440,1,1,1,Apartment / Unit / Flat,-37.7865,144.9897
70,BALACLAVA 4/360 Carlisle Street VIC 3183,650,2,1,1,Apartment / Unit / Flat,-37.8692,144.9977
71,MALVERN EAST 508/839 Dandenong Road VIC 3145,360,1,1,1,Apartment / Unit / Flat,-37.874,145.0425
72,MELBOURNE 1112/333-351 Exhibition Street VIC 3000,600,2,2,0,Apartment / Unit / Flat,45.5916,14.1546
73,FITZROY NORTH 22L/378-390 St Georges Road VIC 3068,570,2,2,1,Apartment / Unit / Flat,-37.7865,144.9897
74,MENTONE G01/97 Beach Road VIC 3194,750,1,1,2,Apartment / Unit / Flat,-37.9833,145.0667
75,MELBOURNE 602/118 Franklin Street VIC 3000,330,1,1,0,Apartment / Unit / Flat,45.5916,14.1546
76,GLEN IRIS 2/49 Osborne Avenue VIC 3146,770,2,2,2,Apartment / Unit / Flat,-37.8599,145.0549
77,ABBOTSFORD 509A/1 Acacia Place VIC 3067,410,1,1,1,Apartment / Unit / Flat,-37.8046,144.9998
78,BRUNSWICK 208/34 Union Street VIC 3056,490,2,1,1,Apartment / Unit / Flat,-37.7667,144.9667
79,GLEN IRIS 12/70 Edgar Street North VIC 3146,295,1,1,1,Apartment / Unit / Flat,-37.8599,145.0549
80,SOUTH YARRA 113/2 Hobson Street VIC 3141,410,1,1,1,Apartment / Unit / Flat,-37.8333,144.9833
81,SOUTH YARRA 130/471 Malvern Road VIC 3141,400,1,1,1,Apartment / Unit / Flat,-37.8333,144.9833
82,FOOTSCRAY 1303/8 Joseph Road VIC 3011,490,2,2,1,Apartment / Unit / Flat,-37.7995,144.8963
83,EAST MELBOURNE 23/2 Wellington Crescent VIC 3002,750,2,2,2,Apartment / Unit / Flat,-37.8167,144.9879
84,COLLINGWOOD 1304e/9 Robert Street VIC 3066,450,1,1,1,Apartment / Unit / Flat,-37.8,144.9833
85,MELBOURNE 4/180 Little Collins Street VIC 3000,500,1,1,0,Apartment / Unit / Flat,45.5916,14.1546
86,SOUTH YARRA 516/77 River Street VIC 3141,370,1,1,1,Apartment / Unit / Flat,-37.8333,144.9833
87,MALVERN EAST 2/997 Dandenong Road VIC 3145,400,2,1,1,Apartment / Unit / Flat,-37.874,145.0425
88,RICHMOND 2/2 Smith Street VIC 3121,300,1,1,1,Apartment / Unit / Flat,-37.8271,145.0064
89,SOUTH YARRA 9/63 Millswyn Street VIC 3141,495,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833
90,GLEN IRIS 310/770B Toorak Road Road VIC 3146,80,1,1,1,Apartment / Unit / Flat,-37.8599,145.0549
91,BOX HILL 3/1 John Street VIC 3128,420,2,1,1,Apartment / Unit / Flat,-37.8256,145.1232
92,BALWYN 4/84 Rochester Rd VIC 3103,480,2,1,1,Apartment / Unit / Flat,-37.8117,145.081
93,CAULFIELD NORTH 8/62 Hawthorn Road VIC 3161,600,2,2,2,Apartment / Unit / Flat,-37.8764333,145.0239926
94,BURWOOD 108/326-328 Burwood Highway VIC 3125,500,2,1,1,Apartment / Unit / Flat,-37.8498,145.119
95,HUGHESDALE 1/30 Swindon Road VIC 3166,420,2,1,1,Apartment / Unit / Flat,-37.8995,145.0811
96,GLEN IRIS 3/76 Glen Iris Road VIC 3146,415,2,1,2,Apartment / Unit / Flat,-37.8599,145.0549
97,SOUTH MELBOURNE 1/333 Coventry Street VIC 3205,550,2,1,1,Apartment / Unit / Flat,46.3817,15.2958
98,MELBOURNE 1507/12 Queens Rd VIC 3004,700,2,2,1,Apartment / Unit / Flat,-37.814,144.9633
99,MELBOURNE 3002/288 Spencer St VIC 3000,510,2,1,1,Apartment / Unit / Flat,45.5916,14.1546
100,ELSTERNWICK 806/18 McCombie St VIC 3185,520,2,2,1,Apartment / Unit / Flat,-37.8984,145.0088
101,OAKLEIGH 109/6 Dalgety Street VIC 3166,500,1,1,1,Apartment / Unit / Flat,-37.8995,145.0811
102,MURRUMBEENA 4/15 Howe Street VIC 3163,290,1,1,1,Apartment / Unit / Flat,-37.8895,145.0581
103,RICHMOND 6/137 Coppin Street VIC 3121,360,1,1,0,Apartment / Unit / Flat,-37.8271,145.0064
104,FOOTSCRAY 2308/6 Joseph Road VIC 3011,400,1,1,1,Apartment / Unit / Flat,-37.7995,144.8963
105,BRUNSWICK EAST 2005/178 Edward Street VIC 3057,550,2,1,1,Apartment / Unit / Flat,-37.7603,144.9502
106,HAMPTON G05/18 Railway Crescent VIC 3188,750,2,2,1,Apartment / Unit / Flat,-37.9374,145.0151
107,ELWOOD 6/30 Docker Street VIC 3184,470,1,1,1,Apartment / Unit / Flat,-37.8809,144.9855
108,ST KILDA 1/38 Alma Rd VIC 3182,450,2,1,0,Apartment / Unit / Flat,-37.8633,144.9802
109,SOUTHBANK 705/26 Southgate Avenue VIC 3006,530,1,1,1,Apartment / Unit / Flat,-37.8228,144.9643
110,MELBOURNE 1605/565 Flinders Street VIC 3000,500,2,2,1,Apartment / Unit / Flat,45.5916,14.1546
111,RICHMOND 126/243-249A Bridge Road VIC 3121,400,1,1,1,Apartment / Unit / Flat,-37.8271,145.0064
112,SOUTH YARRA 10/2 Lawson Grove VIC 3141,415,1,1,0,Apartment / Unit / Flat,-37.8333,144.9833
113,RICHMOND 17/81 Edinburgh Street VIC 3121,300,1,1,1,Apartment / Unit / Flat,-37.8271,145.0064
114,BRUNSWICK 9/67 Blyth St VIC 3056,490,2,1,1,Apartment / Unit / Flat,-37.7667,144.9667
115,WINDSOR 16/174 Peel Street VIC 3181,385,1,1,1,Apartment / Unit / Flat,-37.853,144.9929
116,FITZROY 107/176 Argyle Street VIC 3065,450,1,1,0,Apartment / Unit / Flat,-37.7984,144.9783
117,ABBOTSFORD 9/328 Johnston Street VIC 3067,600,2,1,1,Apartment / Unit / Flat,-37.8046,144.9998
118,BRUNSWICK 2/6 Millward Street VIC 3056,390,2,1,1,Apartment / Unit / Flat,-37.7667,144.9667
119,RICHMOND 209/8 Garfield Street VIC 3121,450,1,1,1,Apartment / Unit / Flat,-37.8271,145.0064
120,MELBOURNE 2108/288 Spencer Street VIC 3000,350,1,1,0,Apartment / Unit / Flat,45.5916,14.1546
121,SOUTH YARRA 402/20 Garden Street VIC 3141,350,1,1,0,Apartment / Unit / Flat,-37.8333,144.9833
122,FOOTSCRAY 2003/8 Joseph Road VIC 3011,520,2,2,1,Apartment / Unit / Flat,-37.7995,144.8963
123,SOUTH MELBOURNE 1009/338 Kings Way VIC 3205,500,2,1,2,Apartment / Unit / Flat,46.3817,15.2958
124,TOORAK 11/8 Lamin Lane VIC 3142,465,1,1,1,Apartment / Unit / Flat,-37.8416,145.0177
125,PRAHRAN 306/25 Clifton Street VIC 3181,425,2,1,0,Apartment / Unit / Flat,-37.853,144.9929
126,BRUNSWICK WEST 4/2 Waxman Parade VIC 3055,380,2,1,1,Apartment / Unit / Flat,-37.7603,144.9502
127,WINDSOR 12/28 The Avenue VIC 3181,550,2,1,1,Apartment / Unit / Flat,-37.853,144.9929
128,PASCOE VALE 4/7 Vale Street VIC 3044,375,2,1,1,Apartment / Unit / Flat,-37.7319,144.9381
129,RICHMOND 616/14 David Street VIC 3121,550,2,1,1,Apartment / Unit / Flat,-37.8271,145.0064
130,BOX HILL NORTH 75A Watts Street VIC 3129,440,2,1,1,Apartment / Unit / Flat,-37.8004,145.1083
131,PRAHRAN 310/22 Chatham Street VIC 3181,450,1,1,1,Apartment / Unit / Flat,-37.853,144.9929
132,PORT MELBOURNE 701/57 Bay Street VIC 3207,750,2,1,2,Apartment / Unit / Flat,-37.8329,144.922
133,MIDDLE PARK 8/49 Patterson Street VIC 3206,490,2,1,1,Apartment / Unit / Flat,46.3636,15.3653
134,HAWTHORN G.04/567 Glenferrie Road VIC 3122,430,1,1,1,Apartment / Unit / Flat,-37.8199,145.0358
135,ELSTERNWICK 103/5-7 Nepean Highway VIC 3185,500,2,2,1,Apartment / Unit / Flat,-37.8984,145.0088
136,SOUTH MELBOURNE 203/333 Ferrars Street VIC 3205,650,2,2,1,Apartment / Unit / Flat,46.3817,15.2958
137,MURRUMBEENA 6/19 Sydney Street VIC 3163,300,1,1,1,Apartment / Unit / Flat,-37.8895,145.0581
138,KEW 14/58-62 Mary Street VIC 3101,470,2,1,1,Apartment / Unit / Flat,-37.8064,145.0309
139,MELBOURNE 612/408 Lonsdale Street VIC 3000,350,1,1,0,Apartment / Unit / Flat,45.5916,14.1546
140,HAWTHORN 11/64 Auburn Rd VIC 3122,350,1,1,1,Apartment / Unit / Flat,-37.8199,145.0358
141,HAWTHORN 7/165 Power Street VIC 3122,350,1,1,1,Apartment / Unit / Flat,-37.8199,145.0358
142,DONCASTER 2/11 Firth Street VIC 3108,360,2,1,1,Apartment / Unit / Flat,-37.7883,145.1237
143,MELBOURNE 902/133 Russell St VIC 3004,650,1,1,0,Apartment / Unit / Flat,-37.814,144.9633
144,FITZROY NORTH 5/55 May Street VIC 3068,350,2,1,1,Apartment / Unit / Flat,-37.7865,144.9897
145,BRIGHTON 1/128 Male Street VIC 3186,525,2,1,1,Apartment / Unit / Flat,-37.9057,145.0067
146,NORTHCOTE 2/3 Jessie Street VIC 3070,375,2,1,1,Apartment / Unit / Flat,-37.7667,145.0
147,BALWYN 5/19 Kireep Road VIC 3103,400,2,1,1,Apartment / Unit / Flat,-37.8117,145.081
148,TOORAK 15/21 Tintern Avenue VIC 3142,520,2,1,1,Apartment / Unit / Flat,-37.8416,145.0177
149,CARNEGIE 2/44 Rosstown Road VIC 3163,545,3,1,1,Apartment / Unit / Flat,-37.8895,145.0581
150,ELSTERNWICK 3/24 Elster Avenue VIC 3185,450,2,1,1,Apartment / Unit / Flat,-37.8984,145.0088
151,EDITHVALE 5/8-10 Turakina Avenue VIC 3196,350,1,1,1,Apartment / Unit / Flat,-38.0372,145.1097
152,ST KILDA 5/9 Marlton Crescent VIC 3182,520,2,1,0,Apartment / Unit / Flat,-37.8633,144.9802
153,GLEN HUNTLY 3/22 Roseberry Grove VIC 3163,335,2,1,1,Apartment / Unit / Flat,-37.8895,145.0581
154,GLEN IRIS 10/304 Tooronga Road VIC 3146,350,2,1,1,Apartment / Unit / Flat,-37.8599,145.0549
155,MURRUMBEENA 8/24 Melbourne Street VIC 3163,270,1,1,1,Apartment / Unit / Flat,-37.8895,145.0581
156,PRAHRAN 4/34 Clarke Street VIC 3181,360,1,1,1,Apartment / Unit / Flat,-37.853,144.9929
157,ST KILDA EAST 3/206 Alma Rd VIC 3183,250,1,1,0,Apartment / Unit / Flat,-37.8692,144.9977
158,PRAHRAN 510/42 Porter Street VIC 3181,260,1,1,0,Apartment / Unit / Flat,-37.853,144.9929
159,CAMBERWELL 3/9 Eddy Street VIC 3124,470,2,1,1,Apartment / Unit / Flat,-37.8248,145.0705
160,SOUTHBANK 3402/61 Haig Street VIC 3006,395,1,1,0,Apartment / Unit / Flat,-37.8228,144.9643
161,ST KILDA EAST 12/7 Raglan Street VIC 3183,290,1,1,0,Apartment / Unit / Flat,-37.8692,144.9977
162,MELBOURNE 309/77 Queens Road VIC 3004,430,1,1,1,Apartment / Unit / Flat,-37.814,144.9633
163,BRUNSWICK 805/288 Albert Street VIC 3056,450,2,1,1,Apartment / Unit / Flat,-37.7667,144.9667
164,HAWTHORN 6/146 Riversdale Road VIC 3122,445,2,1,1,Apartment / Unit / Flat,-37.8199,145.0358
165,ALPHINGTON 12/1 Rex Avenue VIC 3078,460,2,1,1,Apartment / Unit / Flat,-37.7829,145.0226
166,CARNEGIE 5/20 Anzac Street VIC 3163,320,1,1,1,Apartment / Unit / Flat,-37.8895,145.0581
167,PRAHRAN 2/227 Chapel Street VIC 3181,430,2,1,0,Apartment / Unit / Flat,-37.853,144.9929
168,ST KILDA EAST 6/23 Lansdowne Rd VIC 3183,350,2,1,1,Apartment / Unit / Flat,-37.8692,144.9977
169,BRUNSWICK 208/5 Union Street VIC 3056,550,2,1,1,Apartment / Unit / Flat,-37.7667,144.9667
170,MIDDLE PARK 1/262 Beaconsfield Parade VIC 3206,500,2,1,1,Apartment / Unit / Flat,46.3636,15.3653
171,SOUTHBANK 1306/285 City Road VIC 3006,500,2,1,1,Apartment / Unit / Flat,-37.8228,144.9643
172,OAKLEIGH 16/30 Swindon Road VIC 3166,570,3,2,2,Apartment / Unit / Flat,-37.8995,145.0811
173,EAST MELBOURNE Unit 13P/189 Powlett St VIC 3002,600,2,2,1,Apartment / Unit / Flat,-37.8167,144.9879
174,PORT MELBOURNE 112/1 Danks Street VIC 3207,525,2,1,1,Apartment / Unit / Flat,-37.8329,144.922
175,HIGHETT 2/15 Karen Street VIC 3190,390,2,1,2,Apartment / Unit / Flat,-37.9517,145.0394
176,ST KILDA WEST 30/233-235 Canterbury Road VIC 3182,310,1,1,1,Apartment / Unit / Flat,-37.8633,144.9802
177,NORTH MELBOURNE 310/350 Victoria Street VIC 3051,445,2,1,1,Apartment / Unit / Flat,-37.8029,144.9482
178,MELBOURNE 1505/250 Elizabeth Street VIC 3000,520,2,1,0,Apartment / Unit / Flat,45.5916,14.1546
179,DANDENONG 2/24 Power Street VIC 3175,399,3,2,2,Apartment / Unit / Flat,-37.9833,145.2
180,MELBOURNE 3510/442 Elizabeth St VIC 3000,680,2,1,0,Apartment / Unit / Flat,45.5916,14.1546
181,DOCKLANDS 1209/8 Pearl River Rd VIC 3008,420,1,1,0,Apartment / Unit / Flat,-37.8149,144.9505
182,CANTERBURY 2/42 Hopetoun Avenue VIC 3126,650,3,1,2,Apartment / Unit / Flat,-37.8247,145.0848
183,MELBOURNE 9/15 Rankins Lane VIC 3000,900,2,2,0,Apartment / Unit / Flat,45.5916,14.1546
184,BRUNSWICK 7/213-219 Brunswick Road VIC 3056,625,2,2,1,Apartment / Unit / Flat,-37.7667,144.9667
185,MELBOURNE 2205/22-24 Jane Bell Lane VIC 3000,550,2,1,0,Apartment / Unit / Flat,45.5916,14.1546
186,SOUTH YARRA 4/209 Domain Road VIC 3141,575,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833
187,MCKINNON 8/66 Bent Street VIC 3204,495,2,2,1,Apartment / Unit / Flat,46.3375,15.2264
188,DOCKLANDS 1811/8 Marmion Pl VIC 3008,480,1,1,1,Apartment / Unit / Flat,-37.8149,144.9505
189,GLENROY 4/48 William Street VIC 3046,380,2,1,1,Apartment / Unit / Flat,-37.7,144.9333
190,ST KILDA 2/52 Alma Road VIC 3182,330,1,1,1,Apartment / Unit / Flat,-37.8633,144.9802
191,SOUTH YARRA 2003/7 Yarra Street VIC 3141,425,1,1,0,Apartment / Unit / Flat,-37.8333,144.9833
192,BRUNSWICK EAST 401/269 Stewart Street VIC 3057,650,2,2,1,Apartment / Unit / Flat,-37.7603,144.9502
193,CARNEGIE 3/16 Oakleigh Road VIC 3163,450,2,1,1,Apartment / Unit / Flat,-37.8895,145.0581
194,KOOYONG 7/717 Toorak Road VIC 3144,1100,3,2,2,Apartment / Unit / Flat,-37.8512,145.0317
195,SOUTH YARRA 7/38A Kensington Road VIC 3141,525,2,1,1,Apartment / Unit / Flat,-37.8333,144.9833
