,suburb,2014income,2015income,2016income,2017income,2018income
233,SOUTH MORANG (SOUTH)," 6,465 "," 6,534 "," 6,787 "," 6,970 ","7,125"
234,WOLLERT," 3,573 "," 4,483 "," 5,750 "," 6,636 ","7,985"
235,AIRPORT WEST," 4,251 "," 4,298 "," 4,480 "," 4,639 ","4,842"
236,ESSENDON AIRPORT, np , np , 18 , 19 , 18 
237,KEILOR," 5,346 "," 5,346 "," 5,350 "," 5,470 ","5,366"
238,KEILOR EAST," 13,972 "," 14,126 "," 14,568 "," 14,783 ","15,130"
239,NIDDRIE - ESSENDON WEST," 4,158 "," 4,191 "," 4,312 "," 4,434 ","4,482"
240,STRATHMORE," 5,902 "," 5,934 "," 6,132 "," 6,309 ","6,429"
241,GISBORNE," 7,371 "," 7,619 "," 7,918 "," 8,095 ","8,257"
242,MACEDON," 2,029 "," 1,998 "," 2,079 "," 2,125 ","2,102"
243,RIDDELLS CREEK," 2,488 "," 2,514 "," 2,567 "," 2,629 ","2,656"
244,ROMSEY," 5,111 "," 5,233 "," 5,457 "," 5,683 ","5,883"
245,COBURG NORTH," 3,983 "," 4,160 "," 4,649 "," 4,831 ","5,067"
246,FAWKNER," 5,821 "," 6,029 "," 6,358 "," 6,731 ","7,001"
247,PASCOE VALE," 12,795 "," 13,087 "," 14,023 "," 14,539 ","15,325"
248,GLENROY," 10,466 "," 11,042 "," 11,963 "," 12,653 ","13,495"
249,GOWANBRAE," 1,727 "," 1,733 "," 1,797 "," 1,843 ","1,851"
250,HADFIELD," 2,610 "," 2,629 "," 2,786 "," 2,971 ","3,124"
251,SUNBURY," 7,449 "," 7,556 "," 7,829 "," 8,035 ","8,242"
252,SUNBURY - SOUTH," 14,893 "," 15,271 "," 15,982 "," 16,703 ","17,563"
253,BROADMEADOWS," 4,637 "," 4,885 "," 5,159 "," 5,524 ","6,021"
254,CAMPBELLFIELD - COOLAROO," 5,640 "," 5,804 "," 6,009 "," 6,333 ","6,474"
255,GLADSTONE PARK - WESTMEADOWS," 9,708 "," 9,861 "," 9,906 "," 10,143 ","10,202"
256,GREENVALE - BULLA," 9,157 "," 9,742 "," 10,544 "," 11,131 ","11,549"
257,MEADOW HEIGHTS," 5,484 "," 5,462 "," 5,532 "," 5,735 ","5,920"
258,MELBOURNE AIRPORT, 59 , 50 , 64 , 62 , 63 
259,ROXBURGH PARK - SOMERTON," 8,763 "," 8,968 "," 9,247 "," 9,804 ","10,352"
260,TULLAMARINE," 3,564 "," 3,542 "," 3,502 "," 3,616 ","3,683"
261,CRAIGIEBURN - CENTRAL," 4,277 "," 4,315 "," 4,363 "," 4,457 ","4,492"
262,CRAIGIEBURN - NORTH," 5,536 "," 5,773 "," 6,082 "," 6,469 ","6,687"
263,CRAIGIEBURN - SOUTH," 7,508 "," 8,214 "," 8,962 "," 9,643 ","10,195"
264,CRAIGIEBURN - WEST," 5,675 "," 6,609 "," 7,497 "," 8,260 ","9,333"
265,MICKLEHAM - YUROKE," 1,356 "," 1,989 "," 3,118 "," 4,542 ","6,743"
266,BAYSWATER," 6,764 "," 6,995 "," 7,021 "," 7,295 ","7,461"
267,KNOXFIELD - SCORESBY," 8,401 "," 8,693 "," 9,104 "," 9,492 ","9,898"
268,LYSTERFIELD," 4,310 "," 4,419 "," 4,480 "," 4,544 ","4,541"
269,ROWVILLE - CENTRAL," 9,281 "," 9,484 "," 9,528 "," 9,685 ","9,853"
270,ROWVILLE - NORTH," 4,802 "," 4,848 "," 5,000 "," 5,054 ","5,082"
271,ROWVILLE - SOUTH," 6,731 "," 6,783 "," 6,875 "," 6,947 ","7,010"
272,WANTIRNA," 8,508 "," 8,591 "," 8,487 "," 8,726 ","8,843"
273,WANTIRNA SOUTH," 10,741 "," 10,853 "," 11,019 "," 11,196 ","11,320"
274,BORONIA," 12,408 "," 12,573 "," 12,903 "," 13,284 ","13,440"
275,FERNTREE GULLY (NORTH)," 7,872 "," 7,927 "," 8,122 "," 8,209 ","8,275"
276,FERNTREE GULLY (SOUTH) - UPPER FERNTREE GULLY," 8,681 "," 8,671 "," 8,886 "," 9,125 ","9,344"
277,THE BASIN," 2,574 "," 2,556 "," 2,628 "," 2,657 ","2,644"
278,DONVALE - PARK ORCHARDS," 10,007 "," 10,086 "," 10,206 "," 10,458 ","10,473"
279,WARRANDYTE - WONGA PARK," 6,755 "," 6,755 "," 6,791 "," 6,856 ","6,810"
280,BAYSWATER NORTH," 6,757 "," 6,860 "," 7,009 "," 7,120 ","7,251"
281,CROYDON HILLS - WARRANWOOD," 11,215 "," 11,486 "," 11,572 "," 11,698 ","11,754"
282,RINGWOOD," 9,551 "," 9,790 "," 9,980 "," 10,495 ","10,844"
283,RINGWOOD EAST," 11,512 "," 11,719 "," 12,115 "," 12,335 ","12,498"
284,RINGWOOD NORTH," 5,916 "," 6,051 "," 6,098 "," 6,113 ","6,168"
285,CROYDON - EAST," 8,103 "," 8,382 "," 8,678 "," 8,833 ","9,067"
286,CROYDON - WEST," 7,382 "," 7,516 "," 7,780 "," 8,013 ","8,092"
287,CROYDON SOUTH," 2,690 "," 2,712 "," 2,715 "," 2,772 ","2,861"
288,FOREST HILL," 5,932 "," 5,930 "," 6,100 "," 6,331 ","6,407"
289,MITCHAM (VICNP)," 9,668 "," 9,757 "," 10,137 "," 10,311 ","10,599"
290,NUNAWADING," 6,608 "," 6,616 "," 6,983 "," 7,174 ","7,287"
291,VERMONT," 6,126 "," 6,116 "," 6,306 "," 6,416 ","6,497"
292,VERMONT SOUTH," 7,310 "," 7,251 "," 7,373 "," 7,510 ","7,617"
293,BELGRAVE - SELBY," 5,986 "," 5,963 "," 6,171 "," 6,191 ","6,372"
294,CHIRNSIDE PARK," 5,911 "," 6,082 "," 6,479 "," 6,762 ","7,024"
295,HEALESVILLE - YARRA GLEN," 7,573 "," 7,588 "," 7,908 "," 8,088 ","8,182"
296,KILSYTH," 5,058 "," 5,063 "," 5,304 "," 5,389 ","5,430"
297,LILYDALE - COLDSTREAM," 11,215 "," 11,198 "," 11,457 "," 11,549 ","11,566"
298,MONBULK - SILVAN," 3,433 "," 3,435 "," 3,497 "," 3,581 ","3,592"
299,MONTROSE," 4,025 "," 4,052 "," 4,091 "," 4,146 ","4,102"
300,MOOROOLBARK," 12,665 "," 12,808 "," 13,191 "," 13,446 ","13,601"
301,MOUNT DANDENONG - OLINDA," 6,004 "," 6,032 "," 6,087 "," 6,098 ","6,085"
302,MOUNT EVELYN," 5,664 "," 5,646 "," 5,834 "," 5,871 ","5,976"
303,UPWEY - TECOMA," 6,001 "," 5,991 "," 6,163 "," 6,205 ","6,287"
304,WANDIN - SEVILLE," 4,596 "," 4,730 "," 4,856 "," 4,920 ","5,021"
305,YARRA VALLEY," 8,664 "," 8,777 "," 8,968 "," 9,165 ","9,341"
306,BEACONSFIELD - OFFICER," 6,835 "," 7,844 "," 9,147 "," 10,481 ","11,922"
307,BUNYIP - GARFIELD," 4,937 "," 5,022 "," 5,195 "," 5,411 ","5,567"
308,EMERALD - COCKATOO," 10,586 "," 10,600 "," 10,803 "," 10,939 ","11,140"
309,KOO WEE RUP," 3,912 "," 4,109 "," 4,311 "," 4,514 ","4,848"
310,PAKENHAM - NORTH," 9,037 "," 9,876 "," 10,443 "," 11,074 ","11,529"
311,PAKENHAM - SOUTH," 13,936 "," 14,497 "," 15,355 "," 16,176 ","16,821"
312,BERWICK - NORTH," 13,520 "," 13,653 "," 13,852 "," 14,035 ","14,015"
313,BERWICK - SOUTH," 13,547 "," 14,172 "," 14,686 "," 15,269 ","15,969"
314,DOVETON," 4,460 "," 4,786 "," 5,048 "," 5,280 ","5,485"
315,HALLAM," 5,339 "," 5,459 "," 5,515 "," 5,680 ","5,791"
316,NARRE WARREN NORTH," 4,804 "," 4,915 "," 5,079 "," 5,084 ","5,159"
317,ENDEAVOUR HILLS - NORTH," 6,387 "," 6,501 "," 6,486 "," 6,716 ","6,753"
318,ENDEAVOUR HILLS - SOUTH," 7,565 "," 7,683 "," 7,687 "," 7,823 ","7,785"
319,NARRE WARREN - NORTH EAST," 7,382 "," 7,593 "," 7,736 "," 7,890 ","7,998"
320,NARRE WARREN - SOUTH WEST," 7,191 "," 7,319 "," 7,522 "," 7,806 ","8,031"
321,CRANBOURNE," 10,044 "," 10,489 "," 10,563 "," 10,852 ","11,063"
322,CRANBOURNE EAST," 10,417 "," 13,256 "," 17,511 "," 21,261 ","25,862"
323,CRANBOURNE NORTH," 9,868 "," 10,583 "," 11,463 "," 12,273 ","12,900"
324,CRANBOURNE SOUTH," 5,024 "," 5,234 "," 5,620 "," 6,225 ","7,413"
325,CRANBOURNE WEST," 6,931 "," 8,054 "," 9,049 "," 9,712 ","10,528"
326,HAMPTON PARK - LYNBROOK," 12,363 "," 12,638 "," 12,832 "," 13,309 ","13,531"
327,LYNBROOK - LYNDHURST," 7,927 "," 8,309 "," 8,733 "," 9,145 ","9,537"
328,PEARCEDALE - TOORADIN," 4,492 "," 4,574 "," 4,680 "," 4,719 ","4,796"
329,NARRE WARREN SOUTH (EAST)," 7,320 "," 7,487 "," 7,631 "," 7,765 ","7,910"
330,NARRE WARREN SOUTH (WEST)," 8,535 "," 8,668 "," 8,871 "," 9,029 ","9,115"
331,CLARINDA - OAKLEIGH SOUTH," 6,478 "," 6,540 "," 6,638 "," 6,748 ","6,664"
332,CLAYTON SOUTH," 6,665 "," 6,734 "," 7,015 "," 7,438 ","7,807"
333,DANDENONG," 13,115 "," 14,013 "," 14,768 "," 15,550 ","15,915"
334,DANDENONG NORTH," 11,017 "," 11,237 "," 11,533 "," 11,739 ","12,036"
335,DINGLEY VILLAGE," 6,314 "," 6,353 "," 6,421 "," 6,440 ","6,475"
336,KEYSBOROUGH," 13,170 "," 14,172 "," 15,103 "," 15,902 ","16,704"
337,NOBLE PARK NORTH," 3,723 "," 3,761 "," 3,821 "," 3,896 ","4,012"
338,SPRINGVALE," 9,720 "," 10,284 "," 10,891 "," 11,595 ","12,210"
339,SPRINGVALE SOUTH," 6,093 "," 6,346 "," 6,405 "," 6,708 ","6,900"
340,NOBLE PARK - EAST," 6,085 "," 6,402 "," 6,691 "," 7,065 ","7,417"
341,NOBLE PARK - WEST," 8,660 "," 8,959 "," 9,388 "," 9,992 ","10,508"
342,ASHWOOD - CHADSTONE," 9,944 "," 10,195 "," 10,858 "," 11,290 ","11,715"
343,CLAYTON," 8,976 "," 8,989 "," 9,572 "," 10,357 ","11,056"
344,GLEN WAVERLEY - EAST," 12,677 "," 12,609 "," 12,978 "," 13,332 ","13,505"
345,GLEN WAVERLEY - WEST," 10,991 "," 11,123 "," 11,497 "," 12,016 ","12,548"
346,MOUNT WAVERLEY - NORTH," 9,247 "," 9,355 "," 9,666 "," 9,961 ","10,220"
347,MOUNT WAVERLEY - SOUTH," 10,821 "," 11,107 "," 11,519 "," 12,013 ","12,055"
348,MULGRAVE," 10,845 "," 10,859 "," 11,083 "," 11,246 ","11,496"
349,OAKLEIGH - HUNTINGDALE," 11,800 "," 12,092 "," 12,608 "," 13,203 ","13,624"
350,WHEELERS HILL," 12,253 "," 12,192 "," 12,383 "," 12,708 ","12,805"
351,ARDEER - ALBION," 3,763 "," 3,976 "," 4,057 "," 4,223 ","4,479"
352,CAIRNLEA," 5,022 "," 5,211 "," 5,349 "," 5,453 ","5,567"
353,DEER PARK - DERRIMUT," 12,680 "," 12,991 "," 13,437 "," 13,717 ","14,083"
354,DELAHEY," 4,273 "," 4,372 "," 4,418 "," 4,440 ","4,551"
355,KEILOR DOWNS," 7,313 "," 7,362 "," 7,347 "," 7,368 ","7,466"
356,KINGS PARK (VICNP)," 5,979 "," 6,174 "," 6,253 "," 6,498 ","6,608"
357,ST ALBANS - NORTH," 8,562 "," 9,077 "," 9,369 "," 9,936 ","10,444"
358,ST ALBANS - SOUTH," 7,476 "," 7,660 "," 7,982 "," 8,358 ","8,533"
359,SUNSHINE," 4,838 "," 5,158 "," 5,306 "," 5,623 ","5,971"
360,SUNSHINE NORTH," 5,275 "," 5,505 "," 5,690 "," 6,024 ","6,314"
361,SUNSHINE WEST," 8,477 "," 8,857 "," 9,172 "," 9,589 ","9,833"
362,SYDENHAM," 6,435 "," 6,642 "," 6,718 "," 6,849 ","6,974"
363,TAYLORS LAKES," 10,931 "," 11,214 "," 11,208 "," 11,238 ","11,001"
364,ALTONA," 7,403 "," 7,610 "," 7,910 "," 7,942 ","8,061"
365,ALTONA MEADOWS," 10,536 "," 10,578 "," 10,722 "," 10,827 ","10,928"
366,ALTONA NORTH," 6,416 "," 6,665 "," 7,036 "," 7,324 ","7,539"
367,NEWPORT," 10,192 "," 10,489 "," 10,961 "," 11,216 ","11,533"
368,SEABROOK," 2,786 "," 2,783 "," 2,868 "," 3,015 ","3,020"
369,WILLIAMSTOWN," 9,309 "," 9,534 "," 9,706 "," 9,996 ","10,154"
370,BRAYBROOK," 8,465 "," 9,056 "," 9,656 "," 10,124 ","10,693"
371,FOOTSCRAY," 8,912 "," 9,544 "," 10,319 "," 10,932 ","11,301"
372,MARIBYRNONG," 7,163 "," 7,539 "," 8,028 "," 8,254 ","8,528"
373,SEDDON - KINGSVILLE," 5,391 "," 5,466 "," 5,766 "," 5,893 ","6,027"
374,WEST FOOTSCRAY - TOTTENHAM," 6,588 "," 6,751 "," 7,018 "," 7,297 ","7,505"
375,YARRAVILLE," 8,657 "," 9,051 "," 9,239 "," 9,495 ","9,714"
376,BACCHUS MARSH," 10,840 "," 11,109 "," 11,743 "," 12,241 ","12,832"
377,HILLSIDE," 10,580 "," 11,322 "," 11,999 "," 13,234 ","13,769"
378,MELTON," 9,112 "," 9,116 "," 9,880 "," 9,851 ","10,019"
379,MELTON SOUTH," 10,508 "," 11,310 "," 11,389 "," 13,561 ","14,613"
380,MELTON WEST," 8,491 "," 8,816 "," 4,859 "," 9,962 ","10,446"
381,ROCKBANK - MOUNT COTTRELL, 889 , 961 , 854 ," 2,188 ","3,367"
382,TAYLORS HILL," 9,648 "," 9,909 "," 10,356 "," 10,512 ","10,902"
383,BURNSIDE," 2,326 "," 2,415 "," 2,604 "," 2,694 ","2,803"
384,BURNSIDE HEIGHTS," 2,986 "," 3,068 "," 3,251 "," 3,289 ","3,419"
385,CAROLINE SPRINGS," 10,449 "," 10,656 "," 11,113 "," 11,280 ","11,530"
386,HOPPERS CROSSING - NORTH," 10,849 "," 10,942 "," 11,196 "," 11,432 ","11,451"
387,HOPPERS CROSSING - SOUTH," 9,912 "," 10,045 "," 10,351 "," 10,645 ","10,907"
388,LAVERTON," 4,630 "," 5,039 "," 5,778 "," 6,275 ","6,951"
389,TARNEIT," 17,057 "," 18,045 "," 20,308 "," 22,755 ","25,458"
390,TRUGANINA," 10,181 "," 11,666 "," 13,583 "," 15,094 ","17,078"
391,WERRIBEE - SOUTH," 6,281 "," 6,384 "," 6,914 "," 7,428 ","8,336"
392,WYNDHAM VALE," 11,204 "," 11,446 "," 13,064 "," 13,931 ","15,141"
393,POINT COOK - EAST," 6,022 "," 6,471 "," 7,939 "," 8,924 ","9,880"
394,POINT COOK - NORTH," 12,284 "," 12,419 "," 12,983 "," 13,399 ","13,669"
395,POINT COOK - SOUTH," 7,140 "," 7,801 "," 8,772 "," 9,319 ","10,044"
396,WERRIBEE - EAST," 9,303 "," 9,533 "," 9,839 "," 10,101 ","10,231"
397,WERRIBEE - WEST," 6,377 "," 6,798 "," 7,605 "," 8,485 ","9,783"
398,CARRUM DOWNS," 11,116 "," 11,308 "," 11,691 "," 12,247 ","12,512"
399,FRANKSTON," 11,712 "," 11,844 "," 12,213 "," 12,820 ","13,243"
400,FRANKSTON NORTH," 8,729 "," 9,005 "," 9,120 "," 9,526 ","9,834"
401,FRANKSTON SOUTH," 10,968 "," 11,129 "," 11,104 "," 11,240 ","11,338"
402,LANGWARRIN," 14,249 "," 14,537 "," 14,621 "," 14,921 ","14,904"
403,SEAFORD (VICNP)," 8,999 "," 9,246 "," 9,402 "," 9,621 ","9,736"
404,SKYE - SANDHURST," 7,403 "," 7,725 "," 7,926 "," 8,102 ","8,253"
405,DROMANA," 5,996 "," 6,313 "," 6,803 "," 7,109 ","7,194"
406,FLINDERS," 3,688 "," 3,633 "," 3,720 "," 3,798 ","3,770"
407,HASTINGS - SOMERS," 11,326 "," 11,436 "," 11,921 "," 12,302 ","12,638"
408,MORNINGTON," 13,350 "," 13,570 "," 14,175 "," 14,518 ","14,806"
409,MOUNT ELIZA," 11,130 "," 11,208 "," 11,375 "," 11,631 ","11,642"
410,MOUNT MARTHA," 10,979 "," 11,103 "," 11,318 "," 11,608 ","11,837"
411,POINT NEPEAN," 9,735 "," 9,948 "," 10,236 "," 10,605 ","10,772"
412,ROSEBUD - MCCRAE," 10,276 "," 10,456 "," 10,868 "," 11,072 ","11,356"
413,SOMERVILLE," 10,850 "," 11,030 "," 11,166 "," 11,332 ","11,527"
414,ARARAT," 4,080 "," 4,046 "," 4,117 "," 4,258 ","4,213"
415,ARARAT REGION," 1,826 "," 1,832 "," 1,845 "," 1,878 ","1,890"
416,HORSHAM," 9,202 "," 9,192 "," 9,491 "," 9,612 ","9,682"
417,HORSHAM REGION," 2,210 "," 2,152 "," 2,205 "," 2,182 ","2,227"
418,NHILL REGION," 3,878 "," 3,775 "," 3,791 "," 3,814 ","3,917"
419,ST ARNAUD," 1,895 "," 1,834 "," 1,851 "," 1,872 ","1,871"
420,STAWELL," 4,393 "," 4,299 "," 4,422 "," 4,552 ","4,657"
421,WEST WIMMERA," 1,599 "," 1,524 "," 1,593 "," 1,597 ","1,616"
422,YARRIAMBIACK," 3,651 "," 3,416 "," 3,600 "," 3,602 ","3,555"
423,IRYMPLE," 3,462 "," 3,349 "," 3,731 "," 3,843 ","4,121"
424,MERBEIN," 2,444 "," 2,328 "," 2,529 "," 2,588 ","2,612"
425,MILDURA REGION," 2,012 "," 1,880 "," 1,996 "," 2,039 ","2,058"
426,RED CLIFFS," 3,066 "," 2,769 "," 2,987 "," 3,024 ","3,188"
427,MILDURA - NORTH," 9,004 "," 9,394 "," 9,785 "," 9,756 ","10,131"
428,MILDURA - SOUTH," 6,911 "," 7,097 "," 7,727 "," 8,845 ","8,944"
429,BULOKE," 3,537 "," 3,389 "," 3,449 "," 3,458 ","3,412"
430,GANNAWARRA," 3,631 "," 3,501 "," 3,604 "," 3,654 ","3,642"
431,KERANG," 2,112 "," 2,098 "," 2,014 "," 2,028 ","2,016"
432,ROBINVALE," 1,686 "," 1,686 "," 1,764 "," 1,764 ","2,028"
433,SWAN HILL," 6,262 "," 6,219 "," 6,338 "," 6,427 ","6,482"
434,SWAN HILL REGION," 3,534 "," 3,352 "," 3,529 "," 3,545 ","3,593"
435,ECHUCA," 8,516 "," 8,616 "," 8,821 "," 8,968 ","9,084"
436,KYABRAM," 5,907 "," 5,995 "," 5,921 "," 6,018 ","6,189"
437,LOCKINGTON - GUNBOWER," 2,111 "," 2,096 "," 2,165 "," 2,221 ","2,267"
438,ROCHESTER," 2,101 "," 2,136 "," 2,160 "," 2,194 ","2,215"
439,RUSHWORTH," 2,082 "," 2,059 "," 2,085 "," 2,060 ","2,094"
440,COBRAM," 3,137 "," 3,165 "," 3,227 "," 3,233 ","3,301"
441,MOIRA," 1,516 "," 1,500 "," 1,567 "," 1,551 ","1,621"
442,NUMURKAH," 6,717 "," 6,792 "," 6,844 "," 6,894 ","6,938"
443,YARRAWONGA," 3,881 "," 3,938 "," 4,108 "," 4,210 ","4,310"
444,MOOROOPNA," 4,058 "," 4,052 "," 4,098 "," 4,120 ","4,196"
445,SHEPPARTON - NORTH," 10,442 "," 10,506 "," 10,630 "," 10,890 ","11,076"
446,SHEPPARTON - SOUTH," 12,045 "," 12,144 "," 12,384 "," 12,618 ","12,980"
447,SHEPPARTON REGION - EAST," 2,460 "," 2,446 "," 2,490 "," 2,516 ","2,510"
448,SHEPPARTON REGION - WEST," 5,652 "," 5,674 "," 5,674 "," 5,719 ","5,784"
449,GLENELG (VICNP)," 4,848 "," 4,837 "," 4,880 "," 4,982 ","5,052"
450,HAMILTON (VICNP)," 5,753 "," 5,998 "," 5,881 "," 5,850 ","5,842"
451,PORTLAND," 5,734 "," 5,704 "," 5,762 "," 5,919 ","6,027"
452,SOUTHERN GRAMPIANS," 3,733 "," 3,691 "," 3,803 "," 3,757 ","3,748"
453,CAMPERDOWN," 1,934 "," 1,914 "," 1,931 "," 1,920 ","1,928"
454,COLAC," 6,696 "," 6,914 "," 6,963 "," 7,237 ","7,434"
455,COLAC REGION," 3,313 "," 3,306 "," 3,430 "," 3,486 ","3,519"
456,CORANGAMITE - NORTH," 2,977 "," 2,847 "," 3,007 "," 3,053 ","3,006"
457,CORANGAMITE - SOUTH," 4,425 "," 4,338 "," 4,321 "," 4,377 ","4,425"
458,OTWAY," 2,225 "," 2,212 "," 2,315 "," 2,297 ","2,360"
459,MOYNE - EAST," 3,890 "," 3,833 "," 3,879 "," 3,954 ","4,081"
460,MOYNE - WEST," 5,650 "," 5,602 "," 5,759 "," 5,765 ","5,852"
461,WARRNAMBOOL - NORTH," 12,185 "," 12,346 "," 12,694 "," 12,950 ","13,157"
462,WARRNAMBOOL - SOUTH," 7,431 "," 7,583 "," 7,614 "," 7,734 ","8,052"
