,suburb,erp_2016,erp_2017,erp_2018,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,natural_increase_2017_18,net_internal_migration_2017_18,net_overseas_migration_2017_18,natural_increase_2018_19,net_internal_migration_2018_19,net_overseas_migration_2018_19,2016income,2017income,2018income
299,FOREST HILL,11074,11283,11387,5.0,4.0,200.0,39.0,-126.0,191.0,15.0,-114.0,188.0," 6,100 "," 6,331 ","6,407"
300,NARRE WARREN SOUTH (EAST),13713,13814,13871,118.0,-110.0,93.0,106.0,-144.0,95.0,92.0,-190.0,91.0," 7,631 "," 7,765 ","7,910"
301,NUNAWADING,12363,12651,12839,91.0,-64.0,261.0,92.0,-160.0,256.0,64.0,-227.0,249.0," 6,983 "," 7,174 ","7,287"
302,VERMONT,10896,11041,11176,56.0,-91.0,180.0,74.0,-124.0,185.0,28.0,-76.0,182.0," 6,306 "," 6,416 ","6,497"
303,FRANKSTON NORTH,19939,19966,19966,101.0,-183.0,109.0,96.0,-200.0,104.0,42.0,-169.0,101.0," 9,120 "," 9,526 ","9,834"
304,VERMONT SOUTH,12251,12347,12388,-18.0,-50.0,164.0,-39.0,-102.0,182.0,-37.0,-141.0,178.0," 7,373 "," 7,510 ","7,617"
305,CHIRNSIDE PARK,10266,10645,10987,87.0,223.0,69.0,97.0,178.0,67.0,110.0,221.0,65.0," 6,479 "," 6,762 ","7,024"
306,HEALESVILLE - YARRA GLEN,14106,14304,14512,35.0,120.0,43.0,52.0,114.0,42.0,58.0,28.0,40.0," 7,908 "," 8,088 ","8,182"
307,BELGRAVE - SELBY,10453,10463,10452,77.0,-120.0,53.0,75.0,-142.0,56.0,83.0,-176.0,55.0," 6,171 "," 6,191 ","6,372"
308,KILSYTH,9470,9580,9656,28.0,43.0,39.0,11.0,28.0,37.0,61.0,80.0,36.0," 5,304 "," 5,389 ","5,430"
309,MONTROSE,7078,7131,7154,2.0,25.0,26.0,30.0,-32.0,25.0,-8.0,-34.0,26.0," 4,091 "," 4,146 ","4,102"
310,MOOROOLBARK,23027,23466,23724,212.0,73.0,154.0,204.0,-93.0,147.0,218.0,-27.0,142.0," 13,191 "," 13,446 ","13,601"
311,MOUNT DANDENONG - OLINDA,10109,10127,10137,73.0,-105.0,50.0,45.0,-83.0,48.0,55.0,-41.0,46.0," 6,087 "," 6,098 ","6,085"
312,NARRE WARREN SOUTH (WEST),17513,17718,17825,213.0,-220.0,212.0,184.0,-294.0,217.0,200.0,-378.0,213.0," 8,871 "," 9,029 ","9,115"
313,MOUNT EVELYN,10081,10170,10208,116.0,-65.0,38.0,73.0,-70.0,35.0,96.0,-40.0,34.0," 5,834 "," 5,871 ","5,976"
314,UPWEY - TECOMA,10040,10041,10048,76.0,-111.0,36.0,71.0,-102.0,38.0,107.0,-170.0,38.0," 6,163 "," 6,205 ","6,287"
315,WANDIN - SEVILLE,7884,7959,8055,61.0,0.0,14.0,70.0,13.0,13.0,73.0,-73.0,12.0," 4,856 "," 4,920 ","5,021"
316,YARRA VALLEY,16622,16665,16751,74.0,-67.0,36.0,97.0,-44.0,33.0,87.0,-34.0,32.0," 8,968 "," 9,165 ","9,341"
317,PAKENHAM - NORTH,19370,20564,21640,338.0,730.0,126.0,359.0,597.0,120.0,356.0,544.0,117.0," 10,443 "," 11,074 ","11,529"
318,PAKENHAM - SOUTH,29580,30959,32087,388.0,695.0,296.0,376.0,468.0,284.0,374.0,369.0,278.0," 15,355 "," 16,176 ","16,821"
319,ENDEAVOUR HILLS - NORTH,12499,12483,12515,69.0,-189.0,104.0,108.0,-175.0,99.0,88.0,-199.0,96.0," 6,486 "," 6,716 ","6,753"
320,BERWICK - NORTH,23824,23999,24040,75.0,-152.0,252.0,-14.0,-201.0,256.0,38.0,-151.0,249.0," 13,852 "," 14,035 ","14,015"
321,ENDEAVOUR HILLS - SOUTH,14160,14140,14092,126.0,-315.0,169.0,138.0,-351.0,165.0,117.0,-327.0,162.0," 7,687 "," 7,823 ","7,785"
322,CLARINDA - OAKLEIGH SOUTH,12323,12354,12361,41.0,-186.0,176.0,16.0,-176.0,167.0,34.0,-219.0,164.0," 6,638 "," 6,748 ","6,664"
323,BERWICK - SOUTH,26874,27742,28500,332.0,208.0,328.0,318.0,111.0,329.0,279.0,-21.0,321.0," 14,686 "," 15,269 ","15,969"
324,NARRE WARREN - NORTH EAST,13967,14048,14169,140.0,-189.0,130.0,168.0,-176.0,129.0,128.0,-227.0,125.0," 7,736 "," 7,890 ","7,998"
325,DOVETON,11867,12067,12210,112.0,-135.0,223.0,118.0,-187.0,212.0,110.0,-255.0,209.0," 5,048 "," 5,280 ","5,485"
326,HALLAM,11335,11525,11630,105.0,-128.0,213.0,61.0,-160.0,204.0,71.0,-133.0,200.0," 5,515 "," 5,680 ","5,791"
327,NARRE WARREN - SOUTH WEST,14544,14736,14889,159.0,-202.0,235.0,169.0,-252.0,236.0,133.0,-242.0,229.0," 7,522 "," 7,806 ","8,031"
328,NARRE WARREN NORTH,8183,8357,8549,-19.0,144.0,49.0,-5.0,150.0,47.0,-6.0,57.0,46.0," 5,079 "," 5,084 ","5,159"
329,CRANBOURNE,20888,21130,21271,259.0,-250.0,233.0,221.0,-305.0,225.0,217.0,-399.0,220.0," 10,563 "," 10,852 ","11,063"
330,CLAYTON SOUTH,13296,13507,13827,154.0,-564.0,621.0,131.0,-429.0,618.0,140.0,-294.0,615.0," 7,015 "," 7,438 ","7,807"
331,CRANBOURNE EAST,26754,34130,41381,602.0,6307.0,467.0,769.0,6037.0,445.0,879.0,6503.0,436.0," 17,511 "," 21,261 ","25,862"
332,CRANBOURNE NORTH,20985,22497,23885,393.0,830.0,289.0,346.0,766.0,276.0,390.0,359.0,270.0," 11,463 "," 12,273 ","12,900"
333,CRANBOURNE SOUTH,9116,9392,10255,66.0,171.0,39.0,90.0,736.0,37.0,104.0,1577.0,36.0," 5,620 "," 6,225 ","7,413"
334,CRANBOURNE WEST,15685,17145,18604,365.0,879.0,216.0,400.0,853.0,206.0,388.0,560.0,203.0," 9,049 "," 9,712 ","10,528"
335,DANDENONG,32700,33396,33934,388.0,-754.0,1062.0,391.0,-868.0,1015.0,295.0,-926.0,992.0," 14,768 "," 15,550 ","15,915"
336,DANDENONG NORTH,23684,23820,23915,141.0,-384.0,379.0,177.0,-444.0,362.0,178.0,-487.0,354.0," 11,533 "," 11,739 ","12,036"
337,DINGLEY VILLAGE,10611,10642,10687,30.0,-73.0,74.0,-17.0,-10.0,72.0,37.0,-41.0,70.0," 6,421 "," 6,440 ","6,475"
338,KEYSBOROUGH,27471,28749,29856,224.0,626.0,428.0,298.0,393.0,416.0,273.0,354.0,406.0," 15,103 "," 15,902 ","16,704"
339,NOBLE PARK NORTH,7871,7906,7928,48.0,-113.0,100.0,58.0,-132.0,96.0,75.0,-160.0,93.0," 3,821 "," 3,896 ","4,012"
340,SPRINGVALE,22761,23256,23642,226.0,-582.0,851.0,146.0,-591.0,831.0,171.0,-712.0,814.0," 10,891 "," 11,595 ","12,210"
341,CLAYTON,23672,25484,26785,84.0,-989.0,2717.0,71.0,-1096.0,2326.0,-10.0,-1340.0,2120.0," 9,572 "," 10,357 ","11,056"
342,SPRINGVALE SOUTH,13227,13321,13372,91.0,-324.0,327.0,88.0,-349.0,312.0,85.0,-354.0,305.0," 6,405 "," 6,708 ","6,900"
343,NOBLE PARK - EAST,13073,13301,13501,151.0,-392.0,469.0,163.0,-415.0,452.0,130.0,-453.0,442.0," 6,691 "," 7,065 ","7,417"
344,NOBLE PARK - WEST,19435,19769,19992,150.0,-359.0,543.0,155.0,-452.0,520.0,101.0,-424.0,509.0," 9,388 "," 9,992 ","10,508"
345,ASHWOOD - CHADSTONE,19308,19872,20204,149.0,-79.0,494.0,139.0,-276.0,469.0,92.0,-140.0,450.0," 10,858 "," 11,290 ","11,715"
346,GLEN WAVERLEY - EAST,22153,22293,22404,52.0,-541.0,629.0,28.0,-509.0,592.0,22.0,-529.0,575.0," 12,978 "," 13,332 ","13,505"
347,GLEN WAVERLEY - WEST,20151,20442,20687,44.0,-497.0,744.0,6.0,-478.0,717.0,7.0,-432.0,702.0," 11,497 "," 12,016 ","12,548"
348,MOUNT WAVERLEY - SOUTH,19291,19637,20009,50.0,-176.0,472.0,49.0,-125.0,448.0,40.0,-247.0,437.0," 11,519 "," 12,013 ","12,055"
349,MULGRAVE,20462,20663,20900,79.0,-256.0,378.0,97.0,-230.0,370.0,54.0,-281.0,362.0," 11,083 "," 11,246 ","11,496"
350,OAKLEIGH - HUNTINGDALE,22617,23152,23589,129.0,-297.0,703.0,94.0,-331.0,674.0,134.0,-314.0,659.0," 12,608 "," 13,203 ","13,624"
351,WHEELERS HILL,20880,20976,21014,-60.0,-129.0,285.0,-66.0,-188.0,292.0,-78.0,-188.0,290.0," 12,383 "," 12,708 ","12,805"
352,ARDEER - ALBION,8202,8342,8458,65.0,-166.0,241.0,74.0,-190.0,232.0,85.0,-240.0,227.0," 4,057 "," 4,223 ","4,479"
353,YARRAVILLE,15656,15891,16233,163.0,-109.0,181.0,188.0,-16.0,170.0,186.0,36.0,166.0," 9,239 "," 9,495 ","9,714"
354,CAIRNLEA,10206,10421,10569,95.0,18.0,102.0,117.0,-67.0,98.0,77.0,-98.0,95.0," 5,349 "," 5,453 ","5,567"
355,DEER PARK - DERRIMUT,27536,28218,28711,412.0,-187.0,457.0,419.0,-364.0,438.0,352.0,-571.0,428.0," 13,437 "," 13,717 ","14,083"
356,DELAHEY,8841,8843,8831,45.0,-124.0,81.0,37.0,-135.0,86.0,64.0,-164.0,85.0," 4,418 "," 4,440 ","4,551"
357,KEILOR DOWNS,13943,13937,13910,98.0,-213.0,109.0,95.0,-230.0,108.0,68.0,-249.0,105.0," 7,347 "," 7,368 ","7,466"
358,ST ALBANS - SOUTH,18025,18336,18487,141.0,-260.0,430.0,168.0,-429.0,412.0,84.0,-419.0,402.0," 7,982 "," 8,358 ","8,533"
359,SUNSHINE,10241,10411,10539,97.0,-259.0,332.0,88.0,-279.0,319.0,77.0,-286.0,311.0," 5,306 "," 5,623 ","5,971"
360,SUNSHINE NORTH,12123,12331,12487,75.0,-67.0,200.0,86.0,-121.0,191.0,46.0,-188.0,188.0," 5,690 "," 6,024 ","6,314"
361,BACCHUS MARSH,20989,21636,22222,145.0,435.0,67.0,143.0,379.0,64.0,173.0,506.0,63.0," 11,743 "," 12,241 ","12,832"
362,HILLSIDE,21305,22913,24151,318.0,1101.0,189.0,349.0,709.0,180.0,366.0,527.0,176.0," 11,999 "," 13,234 ","13,769"
363,SUNSHINE WEST,19533,19896,20123,147.0,-90.0,306.0,147.0,-204.0,284.0,117.0,-251.0,278.0," 9,172 "," 9,589 ","9,833"
364,SYDENHAM,12585,12702,12768,52.0,-206.0,271.0,32.0,-226.0,260.0,52.0,-275.0,254.0," 6,718 "," 6,849 ","6,974"
365,ALTONA,13206,13443,13713,75.0,20.0,142.0,71.0,63.0,136.0,103.0,55.0,131.0," 7,910 "," 7,942 ","8,061"
366,TAYLORS LAKES,18455,18421,18401,78.0,-228.0,116.0,75.0,-206.0,111.0,91.0,-276.0,107.0," 11,208 "," 11,238 ","11,001"
367,FOOTSCRAY,17343,18031,18631,95.0,-51.0,644.0,79.0,-126.0,647.0,72.0,-198.0,643.0," 10,319 "," 10,932 ","11,301"
368,MELTON,19560,19832,20189,212.0,-97.0,157.0,165.0,42.0,150.0,183.0,79.0,145.0," 9,880 "," 9,851 ","10,019"
369,ALTONA MEADOWS,20106,20313,20409,116.0,-145.0,236.0,115.0,-247.0,228.0,118.0,-296.0,223.0," 10,722 "," 10,827 ","10,928"
370,ALTONA NORTH,14787,15024,15196,89.0,4.0,144.0,103.0,-64.0,133.0,83.0,12.0,134.0," 7,036 "," 7,324 ","7,539"
371,BURNSIDE,4943,5125,5296,11.0,102.0,69.0,24.0,80.0,67.0,-2.0,37.0,65.0," 2,604 "," 2,694 ","2,803"
372,NEWPORT,18523,18836,19180,244.0,-137.0,206.0,244.0,-94.0,194.0,206.0,-13.0,190.0," 10,961 "," 11,216 ","11,533"
373,SEABROOK,5408,5464,5517,47.0,-62.0,71.0,48.0,-62.0,67.0,62.0,-104.0,67.0," 2,868 "," 3,015 ","3,020"
374,MARIBYRNONG,12950,13448,13785,133.0,1.0,364.0,129.0,-140.0,348.0,118.0,-128.0,340.0," 8,028 "," 8,254 ","8,528"
375,WILLIAMSTOWN,16389,16636,16932,72.0,-29.0,204.0,57.0,48.0,191.0,48.0,103.0,187.0," 9,706 "," 9,996 ","10,154"
376,BRAYBROOK,19224,19795,20138,219.0,-197.0,549.0,193.0,-374.0,524.0,183.0,-320.0,513.0," 9,656 "," 10,124 ","10,693"
377,MELTON SOUTH,24243,26473,28613,309.0,1673.0,248.0,428.0,1483.0,229.0,439.0,1414.0,223.0," 11,389 "," 13,561 ","14,613"
378,BURNSIDE HEIGHTS,6431,6559,6688,93.0,-52.0,87.0,107.0,-61.0,83.0,75.0,-59.0,81.0," 3,251 "," 3,289 ","3,419"
379,CAROLINE SPRINGS,20968,21457,21730,296.0,-141.0,334.0,262.0,-309.0,320.0,200.0,-393.0,312.0," 11,113 "," 11,280 ","11,530"
380,MELTON WEST,18157,19004,19964,324.0,419.0,104.0,274.0,587.0,99.0,307.0,525.0,96.0," 4,859 "," 9,962 ","10,446"
381,ROCKBANK - MOUNT COTTRELL,3148,4050,6455,19.0,866.0,17.0,50.0,2344.0,11.0,129.0,2219.0,12.0, 854 ," 2,188 ","3,367"
382,TAYLORS HILL,20218,20670,20918,236.0,-19.0,235.0,214.0,-193.0,227.0,218.0,-139.0,222.0," 10,356 "," 10,512 ","10,902"
383,HOPPERS CROSSING - NORTH,20172,20266,20294,205.0,-356.0,245.0,218.0,-426.0,236.0,176.0,-421.0,230.0," 11,196 "," 11,432 ","11,451"
384,HOPPERS CROSSING - SOUTH,20220,20459,20609,211.0,-358.0,386.0,177.0,-397.0,370.0,176.0,-482.0,361.0," 10,351 "," 10,645 ","10,907"
385,LAVERTON,9385,10279,10953,175.0,342.0,377.0,187.0,126.0,361.0,208.0,63.0,353.0," 5,778 "," 6,275 ","6,951"
386,TARNEIT,36404,39743,43410,853.0,1524.0,962.0,941.0,1768.0,958.0,960.0,1420.0,917.0," 20,308 "," 22,755 ","25,458"
387,WERRIBEE - EAST,20643,20844,20986,132.0,-309.0,378.0,216.0,-435.0,361.0,133.0,-408.0,353.0," 9,839 "," 10,101 ","10,231"
388,TRUGANINA,24628,27633,30256,734.0,1473.0,798.0,754.0,1089.0,780.0,748.0,1377.0,763.0," 13,583 "," 15,094 ","17,078"
389,WERRIBEE - WEST,12283,13128,14315,152.0,564.0,129.0,181.0,884.0,122.0,222.0,1614.0,119.0," 7,605 "," 8,485 ","9,783"
390,CARRUM DOWNS,21549,21837,22082,182.0,-30.0,136.0,175.0,-59.0,129.0,176.0,-121.0,127.0," 11,691 "," 12,247 ","12,512"
391,FRANKSTON,23510,23719,23965,137.0,-131.0,203.0,139.0,-86.0,193.0,65.0,-117.0,191.0," 12,213 "," 12,820 ","13,243"
392,WERRIBEE - SOUTH,11776,12286,13115,22.0,312.0,176.0,19.0,643.0,167.0,40.0,843.0,164.0," 6,914 "," 7,428 ","8,336"
393,WYNDHAM VALE,24270,25545,27220,405.0,499.0,371.0,477.0,843.0,355.0,467.0,1181.0,347.0," 13,064 "," 13,931 ","15,141"
394,POINT COOK - EAST,12818,14491,16030,239.0,1102.0,332.0,260.0,967.0,312.0,328.0,1225.0,303.0," 7,939 "," 8,924 ","9,880"
395,POINT COOK - NORTH,24288,24905,25333,315.0,-195.0,497.0,313.0,-379.0,494.0,320.0,-596.0,484.0," 12,983 "," 13,399 ","13,669"
396,POINT COOK - SOUTH,15147,16847,18380,344.0,915.0,441.0,341.0,723.0,469.0,315.0,311.0,467.0," 8,772 "," 9,319 ","10,044"
397,FRANKSTON SOUTH,18995,19113,19217,32.0,-37.0,123.0,2.0,-16.0,118.0,3.0,-30.0,115.0," 11,104 "," 11,240 ","11,338"
398,LANGWARRIN,24694,24926,25155,233.0,-70.0,69.0,236.0,-74.0,67.0,178.0,-105.0,65.0," 14,621 "," 14,921 ","14,904"
399,SKYE - SANDHURST,13664,13894,14085,186.0,-56.0,100.0,156.0,-61.0,96.0,158.0,-89.0,93.0," 7,926 "," 8,102 ","8,253"
400,DROMANA,11454,11939,12325,2.0,425.0,58.0,-42.0,372.0,56.0,-11.0,197.0,55.0," 6,803 "," 7,109 ","7,194"
401,FLINDERS,5642,5645,5653,-20.0,-13.0,36.0,-9.0,-16.0,33.0,-16.0,-23.0,32.0," 3,720 "," 3,798 ","3,770"
402,HASTINGS - SOMERS,22851,23096,23344,127.0,49.0,69.0,126.0,55.0,67.0,118.0,127.0,65.0," 11,921 "," 12,302 ","12,638"
403,ROSEBUD - MCCRAE,21613,21893,22087,-147.0,349.0,78.0,-147.0,266.0,75.0,-126.0,252.0,73.0," 10,868 "," 11,072 ","11,356"
404,MORNINGTON,25030,25496,25914,-56.0,391.0,131.0,-47.0,340.0,125.0,-63.0,238.0,122.0," 14,175 "," 14,518 ","14,806"
405,ARARAT REGION,3198,3216,3222,9.0,-7.0,16.0,9.0,-20.0,17.0,3.0,4.0,16.0," 1,845 "," 1,878 ","1,890"
406,MOUNT ELIZA,18696,18843,19024,2.0,0.0,145.0,8.0,26.0,147.0,3.0,-30.0,143.0," 11,375 "," 11,631 ","11,642"
407,HORSHAM,16462,16497,16513,60.0,-80.0,55.0,62.0,-102.0,56.0,73.0,-52.0,55.0," 9,491 "," 9,612 ","9,682"
408,MOUNT MARTHA,19365,19601,19773,32.0,106.0,98.0,37.0,42.0,93.0,46.0,112.0,91.0," 11,318 "," 11,608 ","11,837"
409,POINT NEPEAN,17999,18204,18433,43.0,96.0,66.0,49.0,113.0,67.0,57.0,152.0,67.0," 10,236 "," 10,605 ","10,772"
410,HORSHAM REGION,3443,3439,3417,3.0,-10.0,3.0,6.0,-30.0,2.0,3.0,-28.0,2.0," 2,205 "," 2,182 ","2,227"
411,SOMERVILLE,18878,19117,19270,76.0,113.0,50.0,94.0,10.0,49.0,108.0,-25.0,49.0," 11,166 "," 11,332 ","11,527"
412,ARARAT,8386,8396,8413,-27.0,-11.0,48.0,-23.0,-8.0,48.0,-3.0,-8.0,46.0," 4,117 "," 4,258 ","4,213"
413,NHILL REGION,6960,6882,6796,-18.0,-77.0,17.0,5.0,-107.0,16.0,-42.0,-48.0,16.0," 3,791 "," 3,814 ","3,917"
414,ST ARNAUD,3353,3314,3288,-12.0,-38.0,11.0,-15.0,-22.0,11.0,-7.0,-7.0,10.0," 1,851 "," 1,872 ","1,871"
415,STAWELL,8225,8184,8128,-27.0,-46.0,32.0,-17.0,-70.0,31.0,-5.0,-46.0,32.0," 4,422 "," 4,552 ","4,657"
416,IRYMPLE,6945,6998,7089,33.0,1.0,19.0,37.0,34.0,20.0,49.0,35.0,20.0," 3,731 "," 3,843 ","4,121"
417,MERBEIN,4820,4860,4885,0.0,28.0,12.0,3.0,11.0,11.0,-8.0,-12.0,12.0," 2,529 "," 2,588 ","2,612"
418,MILDURA REGION,3747,3742,3755,-2.0,-41.0,38.0,-3.0,-27.0,43.0,6.0,-28.0,42.0," 1,996 "," 2,039 ","2,058"
419,RED CLIFFS,5947,5995,6007,32.0,-4.0,20.0,28.0,-36.0,20.0,9.0,-46.0,20.0," 2,987 "," 3,024 ","3,188"
420,MILDURA - NORTH,18398,18575,18660,165.0,-237.0,249.0,88.0,-266.0,263.0,102.0,-310.0,257.0," 9,785 "," 9,756 ","10,131"
421,MILDURA - SOUTH,14801,14972,15120,101.0,-42.0,112.0,71.0,-35.0,112.0,76.0,-72.0,109.0," 7,727 "," 8,845 ","8,944"
422,BULOKE,6285,6208,6186,-64.0,-29.0,16.0,-23.0,-16.0,17.0,-31.0,-44.0,16.0," 3,449 "," 3,458 ","3,412"
423,KERANG,3898,3881,3885,-18.0,-2.0,3.0,-28.0,30.0,2.0,-16.0,-3.0,2.0," 2,014 "," 2,028 ","2,016"
424,ROBINVALE,3382,3359,3374,44.0,-145.0,78.0,30.0,-97.0,82.0,31.0,-158.0,81.0," 1,764 "," 1,764 ","2,028"
425,SWAN HILL,11079,11104,11103,71.0,-96.0,50.0,80.0,-126.0,45.0,47.0,-105.0,44.0," 6,338 "," 6,427 ","6,482"
426,SWAN HILL REGION,6442,6387,6288,22.0,-101.0,24.0,18.0,-141.0,24.0,15.0,-90.0,24.0," 3,529 "," 3,545 ","3,593"
427,ECHUCA,14888,14931,14933,-3.0,4.0,42.0,2.0,-37.0,37.0,-15.0,24.0,36.0," 8,821 "," 8,968 ","9,084"
428,KYABRAM,11034,11056,11028,-4.0,-3.0,29.0,-26.0,-31.0,29.0,26.0,-19.0,30.0," 5,921 "," 6,018 ","6,189"
429,LOCKINGTON - GUNBOWER,3855,3860,3874,3.0,-2.0,4.0,11.0,-1.0,4.0,1.0,-23.0,4.0," 2,165 "," 2,221 ","2,267"
430,ROCHESTER,3895,3902,3906,5.0,-1.0,3.0,-7.0,9.0,2.0,-21.0,1.0,2.0," 2,160 "," 2,194 ","2,215"
431,RUSHWORTH,4076,4051,4054,-6.0,-23.0,4.0,-4.0,3.0,4.0,-2.0,-13.0,4.0," 2,085 "," 2,060 ","2,094"
432,COBRAM,6420,6435,6422,5.0,-39.0,49.0,18.0,-81.0,50.0,1.0,-77.0,49.0," 3,227 "," 3,233 ","3,301"
433,MOIRA,2623,2636,2665,8.0,-9.0,14.0,18.0,-2.0,13.0,17.0,-19.0,13.0," 1,567 "," 1,551 ","1,621"
434,NUMURKAH,12422,12416,12420,19.0,-57.0,32.0,40.0,-69.0,33.0,36.0,-88.0,32.0," 6,844 "," 6,894 ","6,938"
435,YARRAWONGA,8021,8165,8290,-66.0,193.0,17.0,-56.0,163.0,18.0,-48.0,194.0,18.0," 4,108 "," 4,210 ","4,310"
436,MOOROOPNA,8033,8043,8087,2.0,-36.0,44.0,34.0,-34.0,44.0,29.0,-15.0,43.0," 4,098 "," 4,120 ","4,196"
437,SHEPPARTON - NORTH,19007,19229,19382,113.0,-100.0,209.0,121.0,-178.0,210.0,60.0,-108.0,206.0," 10,630 "," 10,890 ","11,076"
438,SHEPPARTON - SOUTH,23668,23899,24164,188.0,-182.0,225.0,203.0,-165.0,227.0,174.0,-140.0,222.0," 12,384 "," 12,618 ","12,980"
439,SHEPPARTON REGION - EAST,3897,3891,3881,19.0,-41.0,16.0,21.0,-46.0,15.0,14.0,-53.0,14.0," 2,490 "," 2,516 ","2,510"
440,PORTLAND,10943,10933,10899,1.0,-30.0,19.0,-18.0,-35.0,19.0,24.0,-14.0,19.0," 5,762 "," 5,919 ","6,027"
441,SOUTHERN GRAMPIANS,6143,6111,6093,13.0,-63.0,18.0,18.0,-54.0,18.0,9.0,-77.0,23.0," 3,803 "," 3,757 ","3,748"
442,COLAC,12450,12498,12546,-9.0,13.0,44.0,35.0,-21.0,34.0,12.0,-23.0,39.0," 6,963 "," 7,237 ","7,434"
443,COLAC REGION,5381,5363,5363,41.0,-73.0,14.0,35.0,-48.0,13.0,27.0,-38.0,12.0," 3,430 "," 3,486 ","3,519"
444,CAMPERDOWN,3526,3532,3537,-18.0,19.0,5.0,-8.0,8.0,5.0,-32.0,-5.0,6.0," 1,931 "," 1,920 ","1,928"
445,CORANGAMITE - NORTH,5432,5410,5354,-19.0,-17.0,14.0,-28.0,-41.0,13.0,-13.0,-13.0,12.0," 3,007 "," 3,053 ","3,006"
446,WARRNAMBOOL - NORTH,21442,21693,21976,104.0,-9.0,156.0,84.0,41.0,158.0,93.0,1.0,159.0," 12,694 "," 12,950 ","13,157"
447,WARRNAMBOOL - SOUTH,13173,13203,13241,-13.0,-103.0,146.0,-18.0,-91.0,147.0,-14.0,-80.0,147.0," 7,614 "," 7,734 ","8,052"
