,suburb,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,natural_increase_2017_18,net_internal_migration_2017_18,net_overseas_migration_2017_18,natural_increase_2018_19,net_internal_migration_2018_19,net_overseas_migration_2018_19,natural_increase_2019_20,net_internal_migration_2019_20,net_overseas_migration_2019_20,natural_increase_2020_21,net_internal_migration_2020_21,net_overseas_migration_2020_21
0,GORDON (VIC.),5761,5824,5899,5999,6075,17.0,39.0,7.0,37.0,31.0,7.0,24.0,70.0,6.0,8.0,63.0,5.0,23.0,16.0,0.0
1,AVOCA,3323,3330,3352,3364,3370,3.0,-1.0,5.0,5.0,13.0,4.0,-1.0,9.0,4.0,-4.0,7.0,3.0,-9.0,49.0,-1.0
2,BEAUFORT,4454,4485,4450,4547,4615,-17.0,42.0,6.0,0.0,-41.0,6.0,-5.0,96.0,6.0,-12.0,76.0,4.0,-8.0,30.0,0.0
3,GOLDEN PLAINS - NORTH,4540,4635,4742,4862,4938,24.0,66.0,5.0,32.0,70.0,5.0,35.0,79.0,6.0,17.0,55.0,4.0,23.0,48.0,-1.0
4,YACKANDANDAH,4578,4586,4627,4683,4756,12.0,-13.0,9.0,24.0,8.0,9.0,0.0,48.0,8.0,10.0,55.0,8.0,9.0,63.0,-2.0
5,DROUIN,16435,17112,17777,18452,19213,123.0,522.0,32.0,125.0,507.0,33.0,136.0,507.0,32.0,121.0,616.0,24.0,84.0,552.0,-6.0
6,MOUNT BAW BAW REGION,6095,6114,6147,6191,6192,7.0,-2.0,14.0,4.0,16.0,13.0,24.0,8.0,12.0,6.0,-15.0,10.0,26.0,63.0,-3.0
7,TRAFALGAR (VIC.),7828,7970,8035,8077,8129,29.0,97.0,16.0,27.0,24.0,14.0,0.0,28.0,14.0,17.0,25.0,10.0,26.0,126.0,-2.0
8,WARRAGUL,19088,19584,20148,20764,21418,119.0,307.0,70.0,32.0,458.0,74.0,81.0,461.0,74.0,74.0,524.0,56.0,83.0,784.0,-13.0
9,ALPS - EAST,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BAIRNSDALE,14899,15167,15409,15561,15590,21.0,203.0,44.0,17.0,192.0,33.0,8.0,112.0,32.0,-43.0,48.0,24.0,-42.0,163.0,-6.0
11,BRUTHEN - OMEO,7902,7999,8087,8172,8280,20.0,58.0,19.0,15.0,54.0,19.0,46.0,19.0,20.0,4.0,90.0,14.0,13.0,156.0,-3.0
12,LAKE KING,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,LAKES ENTRANCE,10038,10147,10303,10394,10579,-22.0,111.0,20.0,-22.0,158.0,20.0,-58.0,128.0,21.0,-29.0,200.0,14.0,-61.0,246.0,-4.0
14,ORBOST,6497,6468,6475,6447,6461,-29.0,-14.0,14.0,-26.0,20.0,13.0,-6.0,-34.0,12.0,-26.0,30.0,10.0,-33.0,77.0,-3.0
15,PAYNESVILLE,6374,6485,6662,6836,6914,-38.0,138.0,11.0,-38.0,204.0,11.0,-49.0,213.0,10.0,-64.0,134.0,8.0,-50.0,214.0,-2.0
16,FOSTER,8897,8954,8994,9077,9232,0.0,31.0,26.0,-5.0,18.0,27.0,-7.0,64.0,26.0,-43.0,178.0,20.0,-15.0,104.0,-4.0
17,FRENCH ISLAND,114,114,114,114,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,KORUMBURRA,9253,9341,9443,9587,9755,17.0,41.0,30.0,20.0,66.0,16.0,36.0,91.0,17.0,20.0,137.0,11.0,14.0,28.0,-3.0
19,LEONGATHA,11202,11248,11358,11468,11471,0.0,14.0,32.0,9.0,70.0,31.0,-25.0,103.0,32.0,-23.0,2.0,24.0,-30.0,110.0,-5.0
20,PHILLIP ISLAND,10686,11037,11416,11748,12115,17.0,283.0,51.0,-12.0,339.0,52.0,-17.0,297.0,52.0,-20.0,351.0,36.0,-29.0,476.0,-9.0
21,WILSONS PROMONTORY,13,13,13,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,WONTHAGGI - INVERLOCH,22577,23125,23685,24330,25098,-20.0,504.0,64.0,-44.0,533.0,71.0,-18.0,593.0,70.0,-35.0,754.0,49.0,-49.0,1007.0,-12.0
23,CHURCHILL,11594,11576,11590,11628,11702,54.0,-114.0,42.0,51.0,-84.0,47.0,51.0,-58.0,45.0,56.0,-14.0,32.0,76.0,1.0,-7.0
24,MOE - NEWBOROUGH,16840,16831,16810,16816,16842,-13.0,-34.0,38.0,12.0,-70.0,37.0,-27.0,-5.0,38.0,-62.0,60.0,28.0,-68.0,73.0,-6.0
25,MORWELL,14024,14008,14025,14038,14001,16.0,-75.0,43.0,35.0,-61.0,43.0,-36.0,7.0,42.0,-18.0,-49.0,30.0,0.0,52.0,-7.0
26,TRARALGON,27361,27667,27958,28206,28427,105.0,89.0,112.0,127.0,52.0,112.0,87.0,50.0,111.0,94.0,47.0,80.0,60.0,55.0,-21.0
27,YALLOURN NORTH - GLENGARRY,4643,4645,4645,4692,4752,37.0,-39.0,4.0,8.0,-12.0,4.0,22.0,21.0,4.0,32.0,26.0,2.0,45.0,20.0,0.0
28,ALPS - WEST,24,24,24,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,LONGFORD - LOCH SPORT,4367,4398,4403,4453,4576,8.0,7.0,16.0,-12.0,0.0,17.0,1.0,32.0,17.0,-3.0,114.0,12.0,2.0,73.0,-4.0
30,MAFFRA,13973,14099,14197,14335,14495,34.0,24.0,68.0,26.0,2.0,70.0,58.0,10.0,70.0,40.0,72.0,48.0,36.0,68.0,-12.0
31,ROSEDALE,4791,4865,4870,4919,4792,23.0,34.0,17.0,27.0,-40.0,18.0,29.0,1.0,19.0,10.0,-149.0,12.0,12.0,52.0,-4.0
32,NORTH MELBOURNE,22106,23673,25367,26471,27718,122.0,-91.0,1536.0,147.0,284.0,1263.0,162.0,-284.0,1226.0,167.0,220.0,860.0,145.0,-201.0,-1325.0
33,HAWTHORN EAST,16192,16625,16994,17244,17457,110.0,-6.0,329.0,95.0,-11.0,285.0,82.0,-108.0,276.0,72.0,-51.0,192.0,73.0,-345.0,-461.0
34,PARKVILLE,7898,8283,8447,8754,8738,-13.0,21.0,377.0,9.0,-147.0,302.0,-43.0,62.0,288.0,-65.0,-149.0,198.0,-22.0,-266.0,-486.0
35,SOUTH YARRA - WEST,6453,6814,6924,7008,6901,-7.0,204.0,164.0,-15.0,1.0,124.0,-30.0,-4.0,118.0,-29.0,-158.0,80.0,19.0,-252.0,-197.0
36,CHELTENHAM - HIGHETT (WEST),11463,11750,12142,12354,12581,76.0,89.0,122.0,79.0,199.0,114.0,79.0,22.0,111.0,46.0,102.0,79.0,71.0,-46.0,-72.0
37,ORMOND - GLEN HUNTLY,14057,14283,14525,14735,14823,116.0,-399.0,509.0,117.0,-389.0,514.0,111.0,-417.0,516.0,90.0,-368.0,366.0,98.0,-495.0,-348.0
38,BENTLEIGH EAST (NORTH),15482,15732,16029,16535,16921,85.0,-78.0,243.0,95.0,3.0,199.0,94.0,217.0,195.0,104.0,144.0,138.0,89.0,26.0,-125.0
39,SUNBURY - SOUTH,27686,28452,29373,30638,31696,166.0,471.0,129.0,228.0,569.0,124.0,245.0,897.0,123.0,288.0,683.0,87.0,251.0,291.0,-22.0
40,KNOXFIELD - SCORESBY,15752,16298,16765,17197,17390,111.0,274.0,161.0,109.0,195.0,163.0,128.0,143.0,161.0,116.0,-39.0,116.0,99.0,-205.0,-62.0
41,BRUNSWICK EAST,11716,12560,13301,13767,14466,104.0,420.0,320.0,87.0,361.0,293.0,84.0,99.0,283.0,92.0,408.0,199.0,71.0,238.0,-281.0
42,HAMPTON,18611,18868,19103,19345,19570,105.0,-69.0,221.0,82.0,-62.0,215.0,46.0,-19.0,215.0,63.0,11.0,151.0,69.0,-282.0,-212.0
43,SOUTHBANK,20288,22210,24424,26321,27426,180.0,815.0,927.0,179.0,1269.0,766.0,186.0,1007.0,704.0,202.0,428.0,475.0,148.0,716.0,-1936.0
44,ST KILDA EAST,17613,17916,18262,18587,18697,195.0,-267.0,375.0,186.0,-201.0,361.0,154.0,-185.0,356.0,188.0,-326.0,248.0,136.0,-588.0,-354.0
45,ARMADALE,9619,9783,10306,10501,10539,50.0,-3.0,117.0,51.0,369.0,103.0,63.0,33.0,99.0,29.0,-59.0,68.0,61.0,-232.0,-155.0
46,BACCHUS MARSH,20989,21636,22222,22966,23747,145.0,435.0,67.0,143.0,379.0,64.0,174.0,506.0,64.0,130.0,606.0,45.0,136.0,585.0,-25.0
47,PRAHRAN - WINDSOR,21275,21742,22040,22238,22384,108.0,-155.0,514.0,100.0,-282.0,480.0,96.0,-368.0,470.0,101.0,-285.0,330.0,93.0,-621.0,-465.0
48,HILLSIDE,21305,22913,24151,25229,25873,318.0,1101.0,189.0,349.0,709.0,180.0,372.0,527.0,179.0,315.0,200.0,129.0,305.0,1028.0,-69.0
49,ELSTERNWICK,12110,12304,12499,12671,12789,118.0,-89.0,165.0,92.0,-47.0,150.0,75.0,-49.0,146.0,76.0,-61.0,103.0,77.0,-324.0,-147.0
50,MELTON,19560,19832,20189,20599,20695,212.0,-97.0,157.0,165.0,42.0,150.0,184.0,79.0,147.0,164.0,-173.0,105.0,168.0,-501.0,-57.0
51,COLAC REGION,5381,5363,5363,5364,5407,41.0,-73.0,14.0,35.0,-48.0,13.0,27.0,-38.0,12.0,35.0,-2.0,10.0,20.0,-44.0,-3.0
52,CORANGAMITE - NORTH,5432,5410,5354,5339,5356,-19.0,-17.0,14.0,-28.0,-41.0,13.0,-14.0,-13.0,12.0,-28.0,35.0,10.0,-19.0,29.0,-3.0
53,WHITE HILLS - ASCOT,11914,12544,13129,13793,14317,213.0,362.0,55.0,173.0,356.0,56.0,186.0,422.0,56.0,160.0,325.0,39.0,188.0,319.0,-22.0
54,BENDIGO REGION - SOUTH,7346,7565,7770,7891,8115,56.0,151.0,12.0,64.0,130.0,11.0,46.0,63.0,12.0,69.0,146.0,9.0,45.0,111.0,-4.0
55,CORANGAMITE - SOUTH,7274,7225,7177,7103,7043,30.0,-101.0,22.0,10.0,-82.0,24.0,8.0,-107.0,25.0,16.0,-92.0,16.0,6.0,-87.0,-4.0
56,BENDIGO REGION - NORTH,4413,4478,4554,4580,4625,29.0,32.0,4.0,18.0,54.0,4.0,17.0,5.0,4.0,4.0,38.0,3.0,18.0,55.0,-1.0
57,LODDON,7098,7052,7055,7033,7003,-17.0,-43.0,14.0,-14.0,4.0,13.0,-21.0,-14.0,13.0,-50.0,11.0,9.0,-38.0,64.0,-3.0
58,BANNOCKBURN,6549,6872,7116,7346,7591,35.0,276.0,12.0,56.0,177.0,11.0,29.0,189.0,12.0,64.0,172.0,9.0,68.0,68.0,-2.0
59,GOLDEN PLAINS - SOUTH,6937,7069,7239,7433,7599,48.0,68.0,16.0,56.0,100.0,14.0,41.0,139.0,14.0,55.0,101.0,10.0,36.0,232.0,-2.0
60,WINCHELSEA,5824,5830,5864,5951,6093,14.0,-15.0,7.0,17.0,10.0,7.0,4.0,77.0,6.0,23.0,114.0,5.0,38.0,132.0,-1.0
61,BRUNSWICK WEST,14523,14763,15169,15547,15875,97.0,-218.0,361.0,77.0,-11.0,340.0,96.0,-52.0,334.0,90.0,1.0,237.0,64.0,-139.0,-204.0
62,SOUTH YARRA - EAST,22350,23657,24654,25056,25284,168.0,324.0,815.0,162.0,116.0,719.0,149.0,-433.0,686.0,148.0,-393.0,473.0,94.0,-133.0,-1074.0
63,ALFREDTON,11852,12522,13291,14071,15030,111.0,490.0,69.0,132.0,566.0,71.0,128.0,582.0,70.0,150.0,760.0,49.0,117.0,1143.0,-27.0
64,TOORAK,14036,14126,14187,14270,14322,2.0,-74.0,162.0,4.0,-84.0,141.0,14.0,-65.0,134.0,-4.0,-36.0,92.0,-1.0,-148.0,-212.0
65,SURREY HILLS (WEST) - CANTERBURY,17126,17295,17397,17455,17275,0.0,-16.0,185.0,-5.0,-57.0,164.0,-33.0,-64.0,155.0,-33.0,-255.0,108.0,-34.0,-220.0,-245.0
66,HUGHESDALE,8038,8184,8286,8420,8566,43.0,-110.0,213.0,68.0,-152.0,186.0,53.0,-102.0,183.0,55.0,-39.0,130.0,17.0,-153.0,-117.0
67,OTWAY,3556,3569,3579,3607,3653,-4.0,-19.0,36.0,12.0,-37.0,35.0,-2.0,-4.0,34.0,-1.0,21.0,26.0,1.0,14.0,-7.0
68,BALLARAT,12301,12227,12175,12223,12097,-34.0,-126.0,86.0,-33.0,-105.0,86.0,-36.0,-2.0,86.0,-49.0,-138.0,61.0,-43.0,-107.0,-16.0
69,COBURG,27802,28240,28660,29211,29449,192.0,-318.0,564.0,244.0,-381.0,557.0,215.0,-227.0,563.0,175.0,-339.0,402.0,167.0,-390.0,-207.0
70,BALLARAT - NORTH,23539,23902,24147,24456,24606,98.0,175.0,90.0,117.0,32.0,96.0,81.0,134.0,94.0,61.0,22.0,67.0,8.0,123.0,-17.0
71,BALLARAT - SOUTH,24654,25029,25390,25594,25639,142.0,87.0,146.0,119.0,91.0,151.0,107.0,-58.0,155.0,126.0,-196.0,115.0,83.0,-150.0,-29.0
72,BACCHUS MARSH REGION,5982,6062,6152,6211,6309,9.0,61.0,10.0,36.0,45.0,9.0,33.0,16.0,10.0,8.0,82.0,8.0,20.0,11.0,-2.0
73,CRESWICK - CLUNES,7870,7928,7997,8087,8131,-6.0,50.0,14.0,10.0,46.0,13.0,23.0,55.0,12.0,-30.0,64.0,10.0,6.0,55.0,-3.0
74,BUNINYONG,7311,7491,7584,7713,7721,48.0,85.0,47.0,22.0,24.0,47.0,33.0,49.0,47.0,21.0,-46.0,33.0,33.0,-78.0,-8.0
75,DELACOMBE,7195,7487,7873,8495,9234,73.0,200.0,19.0,74.0,292.0,20.0,63.0,538.0,21.0,79.0,646.0,14.0,82.0,699.0,-8.0
76,DAYLESFORD,9117,9165,9261,9324,9435,-25.0,33.0,40.0,-11.0,68.0,39.0,-27.0,52.0,38.0,-23.0,105.0,29.0,-13.0,103.0,-7.0
77,SMYTHES CREEK,3990,3992,4021,4081,4113,22.0,-20.0,0.0,27.0,2.0,0.0,34.0,26.0,0.0,21.0,11.0,0.0,20.0,34.0,0.0
78,WENDOUREE - MINERS REST,14826,14907,15012,15100,15170,41.0,-44.0,84.0,37.0,-16.0,84.0,59.0,-55.0,84.0,-2.0,13.0,59.0,14.0,47.0,-15.0
79,MARYBOROUGH (VIC.),8001,8026,8073,8062,8007,-51.0,64.0,12.0,-39.0,75.0,11.0,-57.0,34.0,12.0,-86.0,22.0,9.0,-55.0,27.0,-2.0
80,MARYBOROUGH REGION,5278,5327,5364,5354,5322,-16.0,57.0,8.0,-14.0,43.0,8.0,-27.0,9.0,8.0,-19.0,-18.0,5.0,-20.0,108.0,-1.0
81,BENDIGO,14770,14737,14737,14776,14699,-47.0,-86.0,100.0,-48.0,-58.0,106.0,-34.0,-37.0,110.0,-24.0,-131.0,78.0,-62.0,-129.0,-20.0
82,CALIFORNIA GULLY - EAGLEHAWK,12130,12403,12675,12978,13248,57.0,178.0,38.0,52.0,183.0,37.0,81.0,184.0,38.0,79.0,163.0,28.0,75.0,174.0,-14.0
83,BELMONT,14312,14523,14610,14765,14823,84.0,-6.0,133.0,30.0,-77.0,134.0,40.0,-17.0,132.0,51.0,-87.0,94.0,39.0,-160.0,-24.0
84,CORIO - NORLANE,27029,27294,27441,27574,27612,189.0,-174.0,250.0,151.0,-268.0,264.0,179.0,-318.0,272.0,109.0,-291.0,220.0,111.0,-303.0,-45.0
85,EAST BENDIGO - KENNINGTON,13750,13778,13784,13825,13717,-50.0,10.0,68.0,-1.0,-68.0,75.0,-25.0,-8.0,74.0,-28.0,-131.0,51.0,-21.0,150.0,-12.0
86,FLORA HILL - SPRING GULLY,9493,9537,9601,9693,9828,58.0,-84.0,70.0,59.0,-70.0,75.0,60.0,-42.0,74.0,65.0,17.0,53.0,38.0,-107.0,-12.0
87,MOYNE - EAST,6709,6667,6669,6685,6737,17.0,-79.0,20.0,38.0,-56.0,20.0,24.0,-29.0,21.0,28.0,10.0,14.0,40.0,42.0,-4.0
88,KANGAROO FLAT - GOLDEN SQUARE,19947,20129,20330,20560,20738,51.0,30.0,101.0,43.0,54.0,104.0,19.0,108.0,103.0,34.0,66.0,78.0,6.0,123.0,-20.0
89,MOYNE - WEST,9603,9680,9776,9840,9857,8.0,22.0,47.0,24.0,25.0,47.0,23.0,-4.0,45.0,11.0,-26.0,32.0,26.0,101.0,-7.0
90,MAIDEN GULLY,5155,5254,5382,5458,5591,50.0,37.0,12.0,51.0,66.0,11.0,58.0,6.0,12.0,47.0,77.0,9.0,57.0,21.0,-2.0
91,PASCOE VALE SOUTH,10465,10763,10969,11083,11120,55.0,127.0,116.0,59.0,36.0,111.0,43.0,-38.0,109.0,61.0,-102.0,78.0,9.0,-254.0,-43.0
92,STRATHFIELDSAYE,8775,9073,9484,9907,10325,79.0,197.0,22.0,73.0,314.0,24.0,86.0,312.0,25.0,74.0,328.0,16.0,66.0,325.0,-9.0
93,KENSINGTON (VIC.),11530,11673,11866,12176,12176,130.0,-171.0,184.0,137.0,-122.0,178.0,122.0,11.0,177.0,104.0,-227.0,123.0,102.0,-263.0,-179.0
94,CASTLEMAINE,10770,10899,11047,11194,11346,-58.0,138.0,49.0,-50.0,148.0,50.0,-24.0,121.0,50.0,-50.0,167.0,35.0,-37.0,91.0,-9.0
95,CASTLEMAINE REGION,8621,8690,8722,8796,8896,-4.0,54.0,19.0,13.0,0.0,19.0,-22.0,76.0,20.0,3.0,83.0,14.0,-15.0,182.0,-3.0
96,HEATHCOTE,4529,4562,4635,4689,4789,-29.0,57.0,5.0,-18.0,86.0,5.0,-10.0,58.0,6.0,-13.0,109.0,4.0,-6.0,109.0,-1.0
97,KYNETON,9782,9914,10081,10225,10357,-15.0,109.0,38.0,4.0,126.0,37.0,1.0,105.0,38.0,-2.0,106.0,28.0,-18.0,161.0,-6.0
98,WOODEND,7043,7191,7348,7512,7607,11.0,113.0,24.0,16.0,117.0,24.0,15.0,124.0,25.0,-15.0,91.0,19.0,-2.0,189.0,-5.0
99,GEELONG,13077,13282,13500,13587,13777,18.0,-4.0,191.0,55.0,-35.0,198.0,29.0,-142.0,200.0,32.0,15.0,143.0,21.0,15.0,-35.0
100,GEELONG WEST - HAMLYN HEIGHTS,20021,20242,20571,20871,21263,187.0,-149.0,183.0,174.0,-39.0,194.0,119.0,-16.0,197.0,151.0,96.0,145.0,161.0,4.0,-30.0
101,GROVEDALE,23790,25597,27561,29379,31567,61.0,1512.0,234.0,78.0,1690.0,196.0,141.0,1482.0,195.0,174.0,1874.0,140.0,227.0,2019.0,-75.0
102,LEOPOLD,13140,13528,13753,13837,13916,113.0,227.0,48.0,71.0,106.0,48.0,69.0,-32.0,47.0,36.0,9.0,34.0,40.0,-6.0,-8.0
103,HIGHTON,22794,23062,23451,23802,23862,99.0,-101.0,270.0,105.0,13.0,271.0,105.0,-23.0,269.0,79.0,-211.0,192.0,88.0,279.0,-103.0
104,LARA,18587,19240,19978,20580,20929,139.0,412.0,102.0,137.0,499.0,102.0,147.0,355.0,100.0,157.0,121.0,71.0,134.0,266.0,-40.0
105,POINT LONSDALE - QUEENSCLIFF,4249,4320,4400,4495,4746,-13.0,65.0,19.0,-25.0,85.0,20.0,-33.0,107.0,21.0,-43.0,280.0,14.0,-24.0,279.0,-8.0
106,MELBOURNE,40181,45327,49247,51909,53139,192.0,893.0,4061.0,229.0,-81.0,3772.0,238.0,-1033.0,3457.0,168.0,-717.0,1779.0,161.0,-391.0,-5717.0
107,NEWCOMB - MOOLAP,14873,14903,14950,15117,15086,-48.0,13.0,65.0,-53.0,35.0,65.0,-9.0,110.0,66.0,-45.0,-33.0,47.0,-86.0,-50.0,-12.0
108,NEWTOWN (VIC.),10483,10597,10719,10835,10942,65.0,-58.0,107.0,55.0,-48.0,115.0,37.0,-40.0,119.0,39.0,-18.0,86.0,53.0,-68.0,-22.0
109,NORTH GEELONG - BELL PARK,15040,15262,15404,15741,15753,-27.0,129.0,120.0,-13.0,29.0,126.0,-16.0,224.0,129.0,-19.0,-61.0,92.0,-37.0,-107.0,-23.0
110,KILMORE - BROADFORD,14098,14501,14921,15516,15833,72.0,254.0,77.0,53.0,286.0,81.0,75.0,439.0,81.0,45.0,214.0,58.0,66.0,245.0,-14.0
111,MANSFIELD (VIC.),8935,9073,9253,9445,9753,4.0,74.0,60.0,1.0,114.0,65.0,0.0,126.0,66.0,-4.0,265.0,47.0,-8.0,288.0,-11.0
112,NAGAMBIE,4048,4110,4200,4270,4414,4.0,38.0,20.0,-3.0,71.0,22.0,1.0,46.0,23.0,-2.0,130.0,16.0,5.0,131.0,-3.0
113,CLIFTON SPRINGS,13593,14083,14636,15397,15906,9.0,445.0,36.0,41.0,476.0,36.0,29.0,696.0,36.0,28.0,455.0,26.0,49.0,511.0,-14.0
114,LORNE - ANGLESEA,5261,5334,5407,5443,5614,-22.0,59.0,36.0,-12.0,49.0,36.0,-14.0,14.0,36.0,1.0,144.0,26.0,-6.0,257.0,-14.0
115,OCEAN GROVE - BARWON HEADS,24177,25360,26648,28055,29372,137.0,915.0,131.0,161.0,996.0,131.0,187.0,1090.0,130.0,137.0,1087.0,93.0,162.0,1146.0,-50.0
116,MYRTLEFORD,4742,4740,4724,4752,4790,-38.0,15.0,21.0,-34.0,0.0,18.0,-43.0,52.0,19.0,-16.0,42.0,12.0,-28.0,36.0,-4.0
