,suburb,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,natural_increase_2016_17,net_internal_migration_2016_17,net_overseas_migration_2016_17,natural_increase_2017_18,net_internal_migration_2017_18,net_overseas_migration_2017_18,natural_increase_2018_19,net_internal_migration_2018_19,net_overseas_migration_2018_19,natural_increase_2019_20,net_internal_migration_2019_20,net_overseas_migration_2019_20,natural_increase_2020_21,net_internal_migration_2020_21,net_overseas_migration_2020_21
117,TOWONG,6014,6012,6027,6013,6073,-4.0,-12.0,14.0,-4.0,10.0,9.0,-24.0,2.0,8.0,-22.0,74.0,8.0,-13.0,-13.0,-2.0
118,WEST WODONGA,15181,15233,15323,15440,15551,109.0,-109.0,52.0,71.0,-37.0,56.0,63.0,-4.0,58.0,66.0,6.0,39.0,69.0,7.0,-10.0
119,WODONGA,24919,25579,26106,26643,27094,223.0,301.0,136.0,198.0,193.0,136.0,200.0,197.0,140.0,200.0,155.0,96.0,115.0,385.0,-25.0
120,PORTARLINGTON,7517,7685,7915,8156,8541,-36.0,194.0,10.0,-35.0,256.0,9.0,-28.0,259.0,10.0,-59.0,436.0,8.0,-51.0,554.0,-4.0
121,TORQUAY,19131,19892,20669,21769,22765,166.0,471.0,124.0,195.0,453.0,129.0,174.0,793.0,133.0,128.0,774.0,94.0,189.0,974.0,-52.0
122,ALEXANDRA,6474,6534,6619,6648,6644,-12.0,35.0,37.0,-31.0,79.0,37.0,-40.0,33.0,36.0,-23.0,-8.0,27.0,-30.0,121.0,-15.0
123,EUROA,6316,6375,6442,6505,6574,-15.0,58.0,16.0,-38.0,89.0,16.0,-25.0,71.0,17.0,-23.0,81.0,11.0,-36.0,88.0,-6.0
124,SEYMOUR,6403,6405,6423,6452,6437,-9.0,-67.0,78.0,12.0,-71.0,77.0,-19.0,-28.0,76.0,-14.0,-55.0,54.0,-21.0,25.0,-13.0
125,SEYMOUR REGION,4487,4533,4511,4471,4390,37.0,-10.0,19.0,48.0,-90.0,20.0,37.0,-98.0,21.0,11.0,-106.0,14.0,32.0,-27.0,-4.0
126,UPPER YARRA VALLEY,184,186,192,194,196,0.0,2.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0
127,YEA,3606,3649,3732,3755,3831,-13.0,44.0,12.0,-8.0,80.0,11.0,-2.0,13.0,12.0,-7.0,73.0,10.0,-3.0,86.0,-2.0
128,BENALLA,10420,10421,10435,10448,10491,-45.0,26.0,20.0,-36.0,30.0,20.0,-31.0,23.0,21.0,-35.0,64.0,14.0,-53.0,53.0,-4.0
129,BENALLA REGION,3623,3627,3659,3664,3721,8.0,-10.0,6.0,11.0,15.0,6.0,8.0,-9.0,6.0,9.0,44.0,4.0,3.0,-4.0,0.0
130,RUTHERGLEN,3907,3945,4000,4050,4081,3.0,19.0,16.0,2.0,38.0,15.0,1.0,34.0,15.0,5.0,15.0,11.0,-1.0,14.0,-3.0
131,WANGARATTA,18940,19112,19318,19407,19436,7.0,107.0,58.0,-7.0,149.0,64.0,-36.0,60.0,65.0,-13.0,-6.0,48.0,-22.0,156.0,-12.0
132,WANGARATTA REGION,9652,9741,9768,9777,9755,44.0,29.0,16.0,23.0,-11.0,15.0,41.0,-47.0,15.0,35.0,-68.0,11.0,33.0,36.0,-3.0
133,BEECHWORTH,4632,4726,4785,4853,4912,-17.0,102.0,9.0,-26.0,76.0,9.0,-5.0,65.0,8.0,-43.0,94.0,8.0,-9.0,28.0,-2.0
134,BRIGHT - MOUNT BEAUTY,8299,8372,8478,8526,8649,-1.0,21.0,53.0,13.0,35.0,58.0,-8.0,-3.0,59.0,-1.0,82.0,42.0,-15.0,131.0,-10.0
135,CHILTERN - INDIGO VALLEY,3117,3120,3126,3163,3185,15.0,-12.0,0.0,8.0,-2.0,0.0,18.0,19.0,0.0,17.0,5.0,0.0,17.0,-16.0,0.0
136,SALE,14891,14926,15021,15133,15297,56.0,-97.0,76.0,28.0,-10.0,77.0,7.0,29.0,76.0,28.0,82.0,54.0,-25.0,129.0,-13.0
137,YARRAM,5371,5390,5413,5443,5505,-7.0,19.0,7.0,-14.0,30.0,7.0,-2.0,26.0,6.0,-27.0,84.0,5.0,-13.0,21.0,-1.0
138,BRUNSWICK,27435,28220,29186,29998,30491,181.0,-73.0,677.0,193.0,132.0,641.0,172.0,8.0,632.0,151.0,-101.0,443.0,117.0,-639.0,-634.0
139,ALPHINGTON - FAIRFIELD,9434,9650,9774,10010,10217,87.0,-25.0,154.0,54.0,-75.0,145.0,67.0,27.0,142.0,47.0,59.0,101.0,64.0,-198.0,-91.0
140,NORTHCOTE,26424,26989,27523,27916,28232,144.0,91.0,330.0,132.0,100.0,302.0,158.0,-58.0,293.0,124.0,-14.0,206.0,47.0,-587.0,-290.0
141,THORNBURY,19578,19880,20144,20383,20624,135.0,-86.0,253.0,128.0,-102.0,238.0,104.0,-100.0,235.0,118.0,-43.0,166.0,105.0,-302.0,-146.0
142,ASCOT VALE,15497,15906,16256,16514,16711,199.0,-81.0,291.0,204.0,-132.0,278.0,186.0,-204.0,276.0,184.0,-184.0,197.0,146.0,-221.0,-106.0
143,ESSENDON - ABERFELDIE,28946,29749,30375,30930,31367,132.0,197.0,474.0,98.0,74.0,454.0,82.0,26.0,447.0,86.0,35.0,316.0,37.0,-491.0,-282.0
144,FLEMINGTON,10734,10858,11194,11351,11364,133.0,-388.0,379.0,106.0,-151.0,381.0,104.0,-326.0,379.0,82.0,-339.0,270.0,52.0,-589.0,-141.0
145,MOONEE PONDS,15158,15441,15728,16053,16458,100.0,-89.0,272.0,70.0,-39.0,256.0,51.0,22.0,252.0,76.0,151.0,178.0,51.0,-142.0,-172.0
146,CARLTON,20242,21835,23261,24709,25649,91.0,-518.0,2020.0,59.0,-727.0,2094.0,52.0,-651.0,2047.0,33.0,-404.0,1311.0,15.0,-358.0,-2236.0
147,DOCKLANDS,11832,13694,14985,15701,15788,133.0,736.0,993.0,147.0,504.0,640.0,186.0,13.0,517.0,153.0,-398.0,332.0,162.0,227.0,-1356.0
148,EAST MELBOURNE,5475,5661,5743,5918,6053,6.0,42.0,138.0,-1.0,-13.0,96.0,8.0,76.0,91.0,-8.0,80.0,63.0,-1.0,-104.0,-145.0
149,FLEMINGTON RACECOURSE,91,91,91,91,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,WEST MELBOURNE,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,ALBERT PARK,16490,16738,17208,17808,17927,136.0,-220.0,332.0,117.0,61.0,292.0,109.0,212.0,279.0,118.0,-191.0,192.0,90.0,-330.0,-442.0
152,ELWOOD,16382,16566,16631,16757,16672,169.0,-234.0,249.0,159.0,-315.0,221.0,200.0,-283.0,209.0,140.0,-369.0,144.0,150.0,-505.0,-331.0
153,PORT MELBOURNE,17469,17682,17842,18051,17995,177.0,-211.0,247.0,148.0,-227.0,239.0,125.0,-157.0,241.0,129.0,-355.0,170.0,99.0,-204.0,-258.0
154,PORT MELBOURNE INDUSTRIAL,25,25,259,438,685,0.0,0.0,0.0,4.0,222.0,8.0,6.0,165.0,8.0,13.0,229.0,5.0,11.0,111.0,-7.0
155,SOUTH MELBOURNE,12492,12761,13169,13510,13681,78.0,-97.0,288.0,86.0,59.0,263.0,52.0,34.0,255.0,29.0,-38.0,180.0,43.0,-195.0,-267.0
156,ST KILDA,28166,28934,29886,30453,30757,93.0,-259.0,934.0,127.0,-48.0,873.0,95.0,-385.0,857.0,83.0,-381.0,602.0,65.0,-724.0,-850.0
157,ABBOTSFORD,8770,9453,9855,10090,10339,63.0,355.0,265.0,76.0,120.0,206.0,78.0,-26.0,183.0,61.0,61.0,127.0,58.0,6.0,-300.0
158,CARLTON NORTH - PRINCES HILL,9058,9127,9180,9207,9270,51.0,-136.0,154.0,54.0,-144.0,143.0,55.0,-169.0,141.0,52.0,-86.0,97.0,54.0,-273.0,-223.0
159,COLLINGWOOD,9235,9826,10377,10990,11523,80.0,169.0,342.0,96.0,123.0,332.0,89.0,186.0,338.0,82.0,195.0,256.0,65.0,-167.0,-116.0
160,FITZROY,11259,11479,11726,11906,11920,87.0,-152.0,285.0,107.0,-139.0,279.0,56.0,-155.0,279.0,48.0,-231.0,197.0,38.0,-391.0,-168.0
161,FITZROY NORTH,13129,13354,13615,13930,14093,88.0,-58.0,195.0,95.0,-8.0,174.0,104.0,40.0,171.0,42.0,3.0,118.0,47.0,-363.0,-272.0
162,MURRUMBEENA,9809,9915,9992,10102,10075,50.0,-172.0,228.0,44.0,-182.0,215.0,35.0,-135.0,210.0,23.0,-199.0,149.0,48.0,-129.0,-135.0
163,RICHMOND (VIC.),32686,33697,34659,35862,36234,291.0,22.0,698.0,286.0,-28.0,704.0,254.0,237.0,712.0,251.0,-383.0,504.0,198.0,-1015.0,-473.0
164,ASHBURTON (VIC.),8104,8181,8250,8298,8305,12.0,-49.0,114.0,5.0,-25.0,89.0,12.0,-50.0,86.0,19.0,-74.0,62.0,7.0,-205.0,-87.0
165,BALWYN,16679,16915,17071,17145,17012,-12.0,-108.0,356.0,-12.0,-164.0,332.0,-9.0,-244.0,327.0,-18.0,-344.0,229.0,-22.0,-346.0,-325.0
166,BENTLEIGH EAST (SOUTH),13767,14023,14191,14424,14675,83.0,24.0,149.0,47.0,-21.0,142.0,76.0,18.0,139.0,60.0,90.0,101.0,55.0,117.0,-54.0
167,YARRA - NORTH,9606,9733,9882,10290,10454,84.0,-84.0,127.0,90.0,-54.0,113.0,67.0,234.0,107.0,71.0,19.0,74.0,48.0,-33.0,-178.0
168,HAWTHORN,24548,25048,25532,26164,26321,164.0,-196.0,532.0,164.0,-199.0,519.0,173.0,-54.0,513.0,136.0,-332.0,353.0,119.0,-527.0,-855.0
169,BALWYN NORTH,21440,21578,21701,21824,21785,-1.0,-186.0,325.0,18.0,-210.0,315.0,-4.0,-189.0,316.0,7.0,-268.0,222.0,-5.0,-218.0,-317.0
170,CAMBERWELL,22646,22902,23021,23160,23031,-60.0,34.0,282.0,-79.0,-68.0,266.0,-50.0,-65.0,254.0,-87.0,-218.0,176.0,-93.0,-481.0,-396.0
171,GLEN IRIS - EAST,17182,17423,17552,17714,17651,102.0,13.0,126.0,92.0,-85.0,122.0,106.0,-66.0,122.0,106.0,-253.0,84.0,86.0,-183.0,-194.0
172,KEW,26504,26774,26915,27188,27069,50.0,-100.0,320.0,3.0,-156.0,294.0,36.0,-49.0,286.0,1.0,-318.0,198.0,58.0,-516.0,-453.0
173,KEW EAST,6855,6909,6916,6978,7041,47.0,-85.0,92.0,15.0,-93.0,85.0,38.0,-58.0,82.0,26.0,-21.0,58.0,21.0,-95.0,-83.0
174,BULLEEN,11565,11652,11765,11833,11932,32.0,-94.0,149.0,42.0,-71.0,142.0,22.0,-93.0,139.0,30.0,-32.0,101.0,13.0,-164.0,-54.0
175,BRIGHTON (VIC.),24353,24699,24979,25122,25014,0.0,78.0,268.0,-5.0,19.0,266.0,-2.0,-112.0,257.0,6.0,-293.0,179.0,-44.0,-394.0,-404.0
176,DONCASTER,21885,22718,23405,24473,25488,88.0,153.0,592.0,104.0,-55.0,638.0,105.0,316.0,647.0,106.0,444.0,465.0,71.0,212.0,-251.0
177,BEAUMARIS,14250,14458,14606,14772,14925,11.0,83.0,114.0,43.0,0.0,105.0,25.0,40.0,101.0,3.0,79.0,71.0,-16.0,37.0,-102.0
178,TEMPLESTOWE,17682,17738,17734,17763,17668,-37.0,-142.0,235.0,-48.0,-178.0,222.0,-58.0,-130.0,217.0,-82.0,-167.0,154.0,-58.0,-197.0,-140.0
179,TEMPLESTOWE LOWER,14305,14402,14451,14483,14633,-18.0,-22.0,137.0,-37.0,-61.0,147.0,-43.0,-74.0,149.0,-17.0,60.0,107.0,-89.0,-161.0,-57.0
180,DONCASTER EAST (NORTH),15328,15438,15571,15751,15882,67.0,-215.0,258.0,35.0,-159.0,257.0,28.0,-101.0,253.0,7.0,-55.0,179.0,-16.0,-225.0,-163.0
181,DONCASTER EAST (SOUTH),14596,14933,15139,15803,15998,61.0,-148.0,424.0,40.0,-259.0,425.0,34.0,204.0,426.0,70.0,-180.0,305.0,33.0,-184.0,-164.0
182,BLACKBURN,22291,22738,23055,23396,23633,60.0,28.0,359.0,62.0,-83.0,338.0,57.0,-48.0,332.0,36.0,-34.0,235.0,24.0,-320.0,-213.0
183,BLACKBURN SOUTH,11229,11318,11399,11499,11506,2.0,-69.0,156.0,20.0,-76.0,137.0,37.0,-62.0,125.0,-1.0,-81.0,89.0,-19.0,-242.0,-80.0
184,BOX HILL,20839,21703,22627,23331,23968,107.0,-320.0,1077.0,121.0,-237.0,1040.0,62.0,-378.0,1020.0,34.0,-191.0,794.0,9.0,-248.0,-675.0
185,BRIGHTON EAST,16718,16774,16883,16952,16949,-57.0,-70.0,183.0,-38.0,-28.0,175.0,-26.0,-79.0,174.0,-66.0,-60.0,123.0,-51.0,-85.0,-177.0
186,BOX HILL NORTH,18466,18702,18970,19224,19503,162.0,-394.0,468.0,109.0,-293.0,452.0,114.0,-319.0,459.0,89.0,-136.0,326.0,62.0,-206.0,-294.0
187,BURWOOD,12900,13646,14198,14661,15078,17.0,-244.0,973.0,15.0,-360.0,897.0,18.0,-394.0,839.0,46.0,-202.0,573.0,4.0,32.0,-563.0
188,BURWOOD EAST,10772,10871,10976,11090,11200,15.0,-261.0,345.0,24.0,-281.0,362.0,1.0,-251.0,364.0,4.0,-162.0,268.0,11.0,-84.0,-155.0
189,SURREY HILLS (EAST) - MONT ALBERT,10456,10532,10607,10673,10622,28.0,-112.0,160.0,33.0,-99.0,141.0,26.0,-93.0,133.0,15.0,-158.0,92.0,8.0,-272.0,-211.0
190,SANDRINGHAM - BLACK ROCK,17517,17733,18032,18311,18477,-5.0,68.0,153.0,-8.0,150.0,157.0,-9.0,131.0,157.0,-52.0,107.0,111.0,-89.0,21.0,-160.0
191,BENTLEIGH - MCKINNON,23586,24092,24509,25050,25275,107.0,20.0,379.0,70.0,-9.0,356.0,68.0,123.0,350.0,76.0,-99.0,248.0,62.0,-95.0,-224.0
192,CARNEGIE,19091,19570,20137,20570,20853,161.0,-361.0,679.0,99.0,-169.0,637.0,122.0,-316.0,627.0,89.0,-250.0,444.0,84.0,-228.0,-424.0
193,CAULFIELD - NORTH,22288,22949,23273,23523,23855,197.0,-44.0,508.0,159.0,-236.0,401.0,126.0,-229.0,353.0,120.0,-31.0,243.0,120.0,-59.0,-595.0
194,CAULFIELD - SOUTH,18393,18589,18765,18925,18883,-7.0,-102.0,305.0,-12.0,-47.0,235.0,16.0,-83.0,227.0,33.0,-203.0,128.0,9.0,-200.0,-229.0
195,ASPENDALE GARDENS - WATERWAYS,9427,9451,9489,9497,9462,59.0,-114.0,79.0,30.0,-72.0,80.0,42.0,-118.0,84.0,32.0,-127.0,60.0,31.0,-234.0,-33.0
196,BRAESIDE,60,60,60,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,CARRUM - PATTERSON LAKES,12111,12319,12550,12661,12699,83.0,35.0,90.0,63.0,82.0,86.0,68.0,-43.0,86.0,62.0,-85.0,61.0,74.0,-72.0,-34.0
198,CHELSEA - BONBEACH,14833,15136,15389,15599,15783,77.0,103.0,123.0,46.0,89.0,118.0,33.0,60.0,117.0,55.0,45.0,84.0,32.0,12.0,-46.0
199,CHELSEA HEIGHTS,5538,5586,5596,5622,5692,53.0,-29.0,24.0,46.0,-58.0,22.0,34.0,-31.0,23.0,45.0,9.0,16.0,39.0,-126.0,-9.0
200,CHELTENHAM - HIGHETT (EAST),23449,23921,24586,25051,25515,120.0,62.0,290.0,140.0,235.0,290.0,62.0,110.0,293.0,135.0,120.0,209.0,93.0,-228.0,-113.0
201,EDITHVALE - ASPENDALE,13376,13518,13756,14026,14184,78.0,-30.0,94.0,79.0,69.0,90.0,72.0,108.0,90.0,71.0,24.0,63.0,78.0,-33.0,-35.0
202,MENTONE,13695,13872,14006,14187,14241,44.0,-72.0,205.0,34.0,-89.0,189.0,86.0,-85.0,180.0,26.0,-101.0,129.0,25.0,-350.0,-115.0
203,MOORABBIN - HEATHERTON,9253,9398,9566,9750,9924,41.0,-73.0,177.0,35.0,-49.0,182.0,38.0,-41.0,187.0,72.0,-30.0,132.0,40.0,-155.0,-71.0
204,MOORABBIN AIRPORT,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,MORDIALLOC - PARKDALE,20969,21287,21579,21958,22252,93.0,-57.0,282.0,64.0,-22.0,250.0,57.0,71.0,251.0,81.0,35.0,178.0,57.0,-104.0,-162.0
206,MALVERN - GLEN IRIS,21148,21443,21617,21864,21964,56.0,-50.0,289.0,75.0,-156.0,255.0,45.0,-39.0,241.0,60.0,-127.0,167.0,34.0,-486.0,-383.0
207,MALVERN EAST,22575,23021,23477,23847,24074,65.0,-186.0,567.0,62.0,-115.0,509.0,50.0,-176.0,496.0,16.0,-33.0,244.0,-7.0,-48.0,-544.0
208,BUNDOORA - EAST,10292,10385,10461,10556,10612,56.0,-156.0,193.0,65.0,-183.0,194.0,51.0,-150.0,194.0,23.0,-106.0,139.0,27.0,-236.0,-74.0
209,GREENSBOROUGH,21348,21484,21563,21669,21608,125.0,-104.0,115.0,115.0,-159.0,123.0,110.0,-131.0,127.0,87.0,-240.0,92.0,57.0,-426.0,-49.0
210,HEIDELBERG - ROSANNA,15532,15877,16130,16475,16600,52.0,65.0,228.0,61.0,-23.0,215.0,-16.0,151.0,210.0,-38.0,14.0,149.0,-14.0,-290.0,-135.0
211,HEIDELBERG WEST,14806,15118,15349,15766,15831,140.0,-40.0,212.0,127.0,-122.0,226.0,133.0,55.0,229.0,85.0,-183.0,163.0,84.0,-405.0,-88.0
212,IVANHOE EAST - EAGLEMONT,8119,8231,8253,8296,8200,-7.0,51.0,68.0,30.0,-71.0,63.0,22.0,-41.0,62.0,20.0,-159.0,43.0,15.0,-37.0,-62.0
213,HAMPTON PARK - LYNBROOK,26780,27142,27470,27667,27562,367.0,-486.0,481.0,370.0,-502.0,460.0,333.0,-593.0,457.0,309.0,-767.0,353.0,257.0,-986.0,-176.0
214,IVANHOE,11998,12437,12679,12928,12973,80.0,203.0,156.0,66.0,33.0,143.0,62.0,48.0,139.0,45.0,-96.0,96.0,36.0,-182.0,-140.0
215,BUNDOORA - WEST,6456,6532,6625,6711,6779,59.0,-190.0,207.0,49.0,-164.0,208.0,30.0,-150.0,206.0,22.0,-101.0,147.0,23.0,-84.0,-79.0
216,MONTMORENCY - BRIAR HILL,16792,16922,16991,17078,17226,116.0,-88.0,102.0,95.0,-123.0,97.0,67.0,-76.0,96.0,113.0,-33.0,68.0,83.0,-264.0,-38.0
217,WALLAN,16747,17466,18445,19658,20974,215.0,442.0,62.0,248.0,671.0,60.0,263.0,890.0,60.0,285.0,989.0,42.0,297.0,1021.0,-23.0
218,WHITTLESEA,8436,8607,8768,8910,9107,-5.0,154.0,22.0,10.0,129.0,22.0,4.0,115.0,23.0,-5.0,186.0,16.0,44.0,761.0,-8.0
219,VIEWBANK - YALLAMBIE,19018,19117,19215,19243,19183,82.0,-175.0,192.0,93.0,-193.0,198.0,56.0,-230.0,202.0,89.0,-292.0,143.0,73.0,-271.0,-77.0
220,WATSONIA,9542,9613,9678,9698,9731,81.0,-70.0,60.0,90.0,-81.0,56.0,80.0,-118.0,58.0,97.0,-103.0,39.0,71.0,-144.0,-22.0
221,KINGSBURY,11965,12583,13048,13262,13484,17.0,-9.0,610.0,26.0,-174.0,613.0,22.0,-444.0,636.0,-1.0,-275.0,498.0,0.0,-177.0,-295.0
222,RESERVOIR - EAST,28420,29034,29560,30034,30265,153.0,-194.0,655.0,183.0,-306.0,649.0,159.0,-329.0,644.0,116.0,-360.0,475.0,79.0,-509.0,-249.0
223,LYNBROOK - LYNDHURST,16067,16614,17132,17492,17941,243.0,12.0,292.0,204.0,34.0,280.0,215.0,-133.0,278.0,174.0,77.0,198.0,191.0,46.0,-106.0
224,RESERVOIR - WEST,25246,25599,25837,26092,26263,129.0,-247.0,471.0,216.0,-442.0,464.0,166.0,-382.0,471.0,170.0,-335.0,336.0,104.0,-632.0,-181.0
225,PRESTON - EAST,21192,21864,22401,22914,23490,160.0,-15.0,527.0,105.0,-73.0,505.0,139.0,-128.0,502.0,160.0,58.0,358.0,113.0,-209.0,-189.0
226,PRESTON - WEST,12867,13152,13366,13613,13781,118.0,-82.0,249.0,100.0,-126.0,240.0,99.0,-90.0,238.0,93.0,-93.0,168.0,69.0,-290.0,-91.0
227,ELTHAM,24008,24111,24206,24284,24288,141.0,-178.0,140.0,108.0,-161.0,148.0,116.0,-183.0,145.0,110.0,-212.0,106.0,115.0,-391.0,-56.0
228,ESSENDON AIRPORT,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,CROYDON HILLS - WARRANWOOD,18752,18788,18839,18849,18811,117.0,-179.0,98.0,119.0,-170.0,102.0,100.0,-190.0,100.0,79.0,-189.0,72.0,71.0,-372.0,-40.0
230,HURSTBRIDGE,3605,3624,3625,3625,3635,34.0,-23.0,8.0,21.0,-28.0,8.0,27.0,-35.0,8.0,29.0,-24.0,5.0,18.0,-66.0,-3.0
231,KINGLAKE,3984,4048,4122,4156,4177,31.0,29.0,4.0,37.0,33.0,4.0,23.0,7.0,4.0,9.0,10.0,2.0,36.0,37.0,-1.0
232,PANTON HILL - ST ANDREWS,5409,5441,5496,5491,5463,20.0,-5.0,17.0,26.0,13.0,16.0,21.0,-43.0,17.0,15.0,-54.0,11.0,6.0,-51.0,-6.0
